,Unnamed: 0,Rung,DFA,$\nu_{T}$ (cm$^{-1}$),$\nu_{L}$ (cm$^{-1}$),$\nu_{B}$ (cm$^{-1}$),$\nu_{S}$ (cm$^{-1}$),$r_{1}$ (Å),$r_{2}$ (Å),$g_{OO}(r_{1})$,$g_{OO}(r_{2})$,$\nu_{T}^{\mathrm{ih}}$ (cm$^{-1}$),$\nu_{L}^{\mathrm{ih}}$ (cm$^{-1}$),$\nu_{B}^{\mathrm{ih}}$ (cm$^{-1}$),$\nu_{S}^{\mathrm{ih}}$ (cm$^{-1}$),$C_{V}$ (J mol$^{-1}$ K$^{-1}$),$\delta C_{V}$ (J mol$^{-1}$ K$^{-1}$),$D_L$ (Å$^{2}$/ps),$D_{\infty}$ (Å$^{2}$/ps)
0,0,GGA,optB88-vdW,224.9,710.6,1594.7,3057.0,2.76,4.44,3.0,1.26,232.09,881.87,1604.64,2925.58,99.7,5.6,0.06,0.12
1,1,GGA,PBE,224.9,762.4,1568.2,2950.5,2.71,4.39,3.6,1.51,206.04,931.52,1578.11,2925.58,84.3,3.4,0.01,0.07
2,2,GGA,PBE-D3,224.9,736.6,1568.2,2977.1,2.71,4.39,3.73,1.5,232.09,931.52,1578.11,2925.58,83.4,5.0,0.01,0.07
3,3,GGA,PBE-D4,224.9,813.9,1568.2,2977.1,2.71,4.39,3.7,1.58,206.04,931.52,1578.11,2925.58,124.3,4.9,0.0,0.06
4,4,Meta-GGA,SCAN,199.9,710.6,1594.7,3163.7,2.71,4.44,3.2,1.29,206.04,906.74,1631.11,3085.31,174.9,1.9,0.07,0.13
5,5,Meta-GGA,SCAN-D3,199.9,710.6,1594.7,3190.4,2.76,4.49,3.15,1.27,206.04,881.87,1631.11,3058.64,141.1,6.3,0.05,0.11
6,6,Meta-GGA,SCAN-D4,224.9,658.4,1621.2,3163.7,2.71,4.49,3.3,1.32,206.04,881.87,1631.11,3085.31,113.9,9.5,0.04,0.1
7,7,Meta-GGA,TPSS,224.9,839.5,1594.7,3003.7,2.71,4.44,3.84,1.66,232.09,931.52,1631.11,2978.71,64.9,3.8,0.0,0.06
8,8,Meta-GGA,TPSS-D3,224.9,736.6,1594.7,3057.0,2.71,4.39,3.84,1.58,232.09,931.52,1631.11,2978.71,66.2,3.2,0.01,0.06
9,9,Meta-GGA,TPSS-D4,224.9,762.4,1594.7,3057.0,2.71,4.39,3.75,1.53,232.09,931.52,1631.11,2978.71,81.9,3.7,0.0,0.06
10,10,Meta-GGA,r2SCAN,199.9,684.5,1621.2,3190.4,2.76,4.49,2.92,1.21,206.04,881.87,1631.11,3085.31,118.3,7.4,0.12,0.18
11,11,Meta-GGA,r2SCAN-D4,224.9,684.5,1621.2,3190.4,2.76,4.49,3.03,1.25,206.04,881.87,1631.11,3085.31,119.2,7.4,0.07,0.13
12,12,Hybrid,B3LYP,224.9,710.6,1621.2,3243.8,2.76,4.44,3.22,1.37,232.09,906.74,1631.11,3165.37,92.3,4.1,0.04,0.1
13,13,Hybrid,B3LYP-D3,199.9,710.6,1621.2,3243.8,2.76,4.39,3.23,1.32,232.09,906.74,1631.11,3138.68,109.2,6.0,0.04,0.1
14,14,Hybrid,B3LYP-D4,224.9,710.6,1621.2,3243.8,2.76,4.44,3.22,1.31,232.09,906.74,1631.11,3138.68,123.6,4.4,0.05,0.11
15,15,Hybrid,HSE06,224.9,762.4,1621.2,3190.4,2.71,4.44,3.56,1.48,232.09,906.74,1631.11,3192.07,94.1,5.8,0.01,0.07
16,16,Hybrid,HSE06-D3,199.9,684.5,1621.2,3270.4,2.71,4.44,3.42,1.47,232.09,906.74,1631.11,3192.07,106.2,4.6,0.02,0.07
17,17,Hybrid,HSE06-D4,224.9,762.4,1621.2,3243.8,2.71,4.39,3.46,1.44,232.09,906.74,1631.11,3192.07,95.3,5.1,0.02,0.08
18,18,Hybrid,PBE0,224.9,762.4,1621.2,3297.2,2.71,4.44,3.8,1.61,232.09,906.74,1657.5,3192.07,100.9,5.0,0.01,0.07
19,19,Hybrid,PBE0-D3,224.9,762.4,1621.2,3243.8,2.71,4.44,3.35,1.44,232.09,906.74,1631.11,3192.07,95.0,5.1,0.02,0.08
20,20,Hybrid,PBE0-D4,199.9,684.5,1621.2,3270.4,2.71,4.39,3.35,1.43,232.09,931.52,1657.5,3192.07,102.2,2.7,0.02,0.08
21,21,Hybrid,revPBE0,199.9,684.5,1647.7,3350.5,2.76,4.3,2.88,1.31,232.09,906.74,1657.5,3245.45,102.0,6.3,0.07,0.13
22,22,Hybrid,revPBE0-D3,199.9,632.3,1647.7,3350.5,2.76,4.39,2.91,1.25,232.09,906.74,1657.5,3245.45,102.5,6.0,0.08,0.14
23,23,Hybrid,revPBE0-D4,224.9,736.6,1647.7,3350.5,2.76,4.39,2.91,1.26,232.09,906.74,1657.5,3245.45,101.8,3.5,0.1,0.16
24,24,Hybrid,revPBE0-D3-TZDV,299.7,606.1,1647.7,3430.6,2.81,4.49,2.5,1.09,232.09,906.74,1657.5,3245.45,92.7,3.0,0.24,0.3
25,25,Double Hybrid,revDSD-BLYP,249.8,684.5,1647.7,3430.6,2.76,4.49,3.22,1.31,232.09,906.74,1683.8,3298.85,79.6,3.7,0.05,0.11
26,26,Double Hybrid,revDSD-BLYP-D4,224.9,684.5,1647.7,3430.6,2.76,4.44,3.27,1.31,232.09,881.87,1683.8,3325.54,84.5,3.8,0.05,0.11
27,27,Double Hybrid,revDSD-PBEP86,224.9,684.5,1647.7,3430.6,2.76,4.54,3.06,1.28,232.09,906.74,1657.5,3272.15,113.0,8.1,0.07,0.13
28,28,Double Hybrid,revDSD-PBEP86-D4,199.9,710.6,1647.7,3403.9,2.76,4.54,3.04,1.26,232.09,906.74,1657.5,3272.15,118.7,7.2,0.09,0.14
29,29,,EXP,178.2,580.0,1652.5,3400.0,2.73,4.5,2.75,1.16,,794.67,1679.03,3265.48,91.4,,,0.23
