17/03/2025 18:59:17 Training is starting...
17/03/2025 19:01:20 Epoch 0 val_loss: 61.45988464
17/03/2025 19:01:20 Epoch 0 train_e_b3lyp_d3: 0.04637038
17/03/2025 19:01:20 Epoch 0 train_f_b3lyp_d3: 0.30246812
17/03/2025 19:01:20 Epoch 0 train_e_b3lyp_d3_rmse: 0.04637038
17/03/2025 19:01:20 Epoch 0 train_f_b3lyp_d3_rmse: 0.30246812
17/03/2025 19:01:20 Epoch 0 lr-Adam: 0.01000000
17/03/2025 19:01:20 Epoch 0 val_e_b3lyp_d3_rmse: 0.04196026
17/03/2025 19:01:20 Epoch 0 val_f_b3lyp_d3_rmse: 0.23104331
17/03/2025 19:03:28 Epoch 1 val_loss: 32.12393570
17/03/2025 19:03:28 Epoch 1 train_e_b3lyp_d3: 0.01590906
17/03/2025 19:03:28 Epoch 1 train_f_b3lyp_d3: 0.29133457
17/03/2025 19:03:28 Epoch 1 train_e_b3lyp_d3_rmse: 0.01590906
17/03/2025 19:03:28 Epoch 1 train_f_b3lyp_d3_rmse: 0.29133457
17/03/2025 19:03:28 Epoch 1 lr-Adam: 0.01000000
17/03/2025 19:03:28 Epoch 1 val_e_b3lyp_d3_rmse: 0.01002423
17/03/2025 19:03:28 Epoch 1 val_f_b3lyp_d3_rmse: 0.17542341
17/03/2025 19:05:37 Epoch 2 val_loss: 40.73896790
17/03/2025 19:05:37 Epoch 2 train_e_b3lyp_d3: 0.02188967
17/03/2025 19:05:37 Epoch 2 train_f_b3lyp_d3: 0.14220898
17/03/2025 19:05:37 Epoch 2 train_e_b3lyp_d3_rmse: 0.02188967
17/03/2025 19:05:37 Epoch 2 train_f_b3lyp_d3_rmse: 0.14220898
17/03/2025 19:05:37 Epoch 2 lr-Adam: 0.01000000
17/03/2025 19:05:37 Epoch 2 val_e_b3lyp_d3_rmse: 0.00867502
17/03/2025 19:05:37 Epoch 2 val_f_b3lyp_d3_rmse: 0.19889554
17/03/2025 19:07:46 Epoch 3 val_loss: 24.67369080
17/03/2025 19:07:46 Epoch 3 train_e_b3lyp_d3: 0.03903225
17/03/2025 19:07:46 Epoch 3 train_f_b3lyp_d3: 0.23098429
17/03/2025 19:07:46 Epoch 3 train_e_b3lyp_d3_rmse: 0.03903225
17/03/2025 19:07:46 Epoch 3 train_f_b3lyp_d3_rmse: 0.23098429
17/03/2025 19:07:46 Epoch 3 lr-Adam: 0.01000000
17/03/2025 19:07:46 Epoch 3 val_e_b3lyp_d3_rmse: 0.04177343
17/03/2025 19:07:46 Epoch 3 val_f_b3lyp_d3_rmse: 0.12928988
17/03/2025 19:09:55 Epoch 4 val_loss: 24.58058739
17/03/2025 19:09:55 Epoch 4 train_e_b3lyp_d3: 0.00133340
17/03/2025 19:09:55 Epoch 4 train_f_b3lyp_d3: 0.11923470
17/03/2025 19:09:55 Epoch 4 train_e_b3lyp_d3_rmse: 0.00133340
17/03/2025 19:09:55 Epoch 4 train_f_b3lyp_d3_rmse: 0.11923470
17/03/2025 19:09:55 Epoch 4 lr-Adam: 0.01000000
17/03/2025 19:09:55 Epoch 4 val_e_b3lyp_d3_rmse: 0.00669194
17/03/2025 19:09:55 Epoch 4 val_f_b3lyp_d3_rmse: 0.15175459
17/03/2025 19:12:04 Epoch 5 val_loss: 26.00119972
17/03/2025 19:12:04 Epoch 5 train_e_b3lyp_d3: 0.02259513
17/03/2025 19:12:04 Epoch 5 train_f_b3lyp_d3: 0.12985955
17/03/2025 19:12:04 Epoch 5 train_e_b3lyp_d3_rmse: 0.02259513
17/03/2025 19:12:04 Epoch 5 train_f_b3lyp_d3_rmse: 0.12985955
17/03/2025 19:12:04 Epoch 5 lr-Adam: 0.01000000
17/03/2025 19:12:04 Epoch 5 val_e_b3lyp_d3_rmse: 0.01489993
17/03/2025 19:12:04 Epoch 5 val_f_b3lyp_d3_rmse: 0.15518765
17/03/2025 19:14:12 Epoch 6 val_loss: 21.89271164
17/03/2025 19:14:12 Epoch 6 train_e_b3lyp_d3: 0.02293312
17/03/2025 19:14:12 Epoch 6 train_f_b3lyp_d3: 0.14032799
17/03/2025 19:14:12 Epoch 6 train_e_b3lyp_d3_rmse: 0.02293312
17/03/2025 19:14:12 Epoch 6 train_f_b3lyp_d3_rmse: 0.14032799
17/03/2025 19:14:12 Epoch 6 lr-Adam: 0.01000000
17/03/2025 19:14:12 Epoch 6 val_e_b3lyp_d3_rmse: 0.01538931
17/03/2025 19:14:12 Epoch 6 val_f_b3lyp_d3_rmse: 0.14383487
17/03/2025 19:16:22 Epoch 7 val_loss: 14.04291725
17/03/2025 19:16:22 Epoch 7 train_e_b3lyp_d3: 0.02014941
17/03/2025 19:16:22 Epoch 7 train_f_b3lyp_d3: 0.12925702
17/03/2025 19:16:22 Epoch 7 train_e_b3lyp_d3_rmse: 0.02014941
17/03/2025 19:16:22 Epoch 7 train_f_b3lyp_d3_rmse: 0.12925702
17/03/2025 19:16:22 Epoch 7 lr-Adam: 0.01000000
17/03/2025 19:16:22 Epoch 7 val_e_b3lyp_d3_rmse: 0.00537301
17/03/2025 19:16:22 Epoch 7 val_f_b3lyp_d3_rmse: 0.11412849
17/03/2025 19:18:37 Epoch 8 val_loss: 18.86004066
17/03/2025 19:18:37 Epoch 8 train_e_b3lyp_d3: 0.01747187
17/03/2025 19:18:37 Epoch 8 train_f_b3lyp_d3: 0.16187704
17/03/2025 19:18:37 Epoch 8 train_e_b3lyp_d3_rmse: 0.01747187
17/03/2025 19:18:37 Epoch 8 train_f_b3lyp_d3_rmse: 0.16187704
17/03/2025 19:18:37 Epoch 8 lr-Adam: 0.01000000
17/03/2025 19:18:37 Epoch 8 val_e_b3lyp_d3_rmse: 0.01949350
17/03/2025 19:18:37 Epoch 8 val_f_b3lyp_d3_rmse: 0.12398867
17/03/2025 19:20:51 Epoch 9 val_loss: 18.63161469
17/03/2025 19:20:51 Epoch 9 train_e_b3lyp_d3: 0.05976254
17/03/2025 19:20:51 Epoch 9 train_f_b3lyp_d3: 0.11826336
17/03/2025 19:20:51 Epoch 9 train_e_b3lyp_d3_rmse: 0.05976254
17/03/2025 19:20:51 Epoch 9 train_f_b3lyp_d3_rmse: 0.11826336
17/03/2025 19:20:51 Epoch 9 lr-Adam: 0.01000000
17/03/2025 19:20:51 Epoch 9 val_e_b3lyp_d3_rmse: 0.00804912
17/03/2025 19:20:51 Epoch 9 val_f_b3lyp_d3_rmse: 0.13408189
17/03/2025 19:23:05 Epoch 10 val_loss: 16.03107452
17/03/2025 19:23:05 Epoch 10 train_e_b3lyp_d3: 0.02285893
17/03/2025 19:23:05 Epoch 10 train_f_b3lyp_d3: 0.10093255
17/03/2025 19:23:05 Epoch 10 train_e_b3lyp_d3_rmse: 0.02285893
17/03/2025 19:23:05 Epoch 10 train_f_b3lyp_d3_rmse: 0.10093255
17/03/2025 19:23:05 Epoch 10 lr-Adam: 0.01000000
17/03/2025 19:23:05 Epoch 10 val_e_b3lyp_d3_rmse: 0.03069695
17/03/2025 19:23:05 Epoch 10 val_f_b3lyp_d3_rmse: 0.11002889
17/03/2025 19:25:18 Epoch 11 val_loss: 16.33870125
17/03/2025 19:25:18 Epoch 11 train_e_b3lyp_d3: 0.02241218
17/03/2025 19:25:18 Epoch 11 train_f_b3lyp_d3: 0.11694606
17/03/2025 19:25:18 Epoch 11 train_e_b3lyp_d3_rmse: 0.02241218
17/03/2025 19:25:18 Epoch 11 train_f_b3lyp_d3_rmse: 0.11694606
17/03/2025 19:25:18 Epoch 11 lr-Adam: 0.01000000
17/03/2025 19:25:18 Epoch 11 val_e_b3lyp_d3_rmse: 0.01354684
17/03/2025 19:25:18 Epoch 11 val_f_b3lyp_d3_rmse: 0.12083811
17/03/2025 19:27:27 Epoch 12 val_loss: 21.49584961
17/03/2025 19:27:27 Epoch 12 train_e_b3lyp_d3: 0.00449962
17/03/2025 19:27:27 Epoch 12 train_f_b3lyp_d3: 0.12433836
17/03/2025 19:27:27 Epoch 12 train_e_b3lyp_d3_rmse: 0.00449962
17/03/2025 19:27:27 Epoch 12 train_f_b3lyp_d3_rmse: 0.12433836
17/03/2025 19:27:27 Epoch 12 lr-Adam: 0.01000000
17/03/2025 19:27:27 Epoch 12 val_e_b3lyp_d3_rmse: 0.03411849
17/03/2025 19:27:27 Epoch 12 val_f_b3lyp_d3_rmse: 0.12973174
17/03/2025 19:29:37 Epoch 13 val_loss: 12.98198891
17/03/2025 19:29:37 Epoch 13 train_e_b3lyp_d3: 0.00836138
17/03/2025 19:29:37 Epoch 13 train_f_b3lyp_d3: 0.11776827
17/03/2025 19:29:37 Epoch 13 train_e_b3lyp_d3_rmse: 0.00836138
17/03/2025 19:29:37 Epoch 13 train_f_b3lyp_d3_rmse: 0.11776827
17/03/2025 19:29:37 Epoch 13 lr-Adam: 0.01000000
17/03/2025 19:29:37 Epoch 13 val_e_b3lyp_d3_rmse: 0.00493685
17/03/2025 19:29:37 Epoch 13 val_f_b3lyp_d3_rmse: 0.11166226
17/03/2025 19:31:45 Epoch 14 val_loss: 25.57777596
17/03/2025 19:31:45 Epoch 14 train_e_b3lyp_d3: 0.00767677
17/03/2025 19:31:45 Epoch 14 train_f_b3lyp_d3: 0.14445446
17/03/2025 19:31:45 Epoch 14 train_e_b3lyp_d3_rmse: 0.00767677
17/03/2025 19:31:45 Epoch 14 train_f_b3lyp_d3_rmse: 0.14445446
17/03/2025 19:31:45 Epoch 14 lr-Adam: 0.01000000
17/03/2025 19:31:45 Epoch 14 val_e_b3lyp_d3_rmse: 0.01003160
17/03/2025 19:31:45 Epoch 14 val_f_b3lyp_d3_rmse: 0.15694034
17/03/2025 19:33:55 Epoch 15 val_loss: 16.87556839
17/03/2025 19:33:55 Epoch 15 train_e_b3lyp_d3: 0.01290532
17/03/2025 19:33:55 Epoch 15 train_f_b3lyp_d3: 0.11105427
17/03/2025 19:33:55 Epoch 15 train_e_b3lyp_d3_rmse: 0.01290532
17/03/2025 19:33:55 Epoch 15 train_f_b3lyp_d3_rmse: 0.11105427
17/03/2025 19:33:55 Epoch 15 lr-Adam: 0.01000000
17/03/2025 19:33:55 Epoch 15 val_e_b3lyp_d3_rmse: 0.02263913
17/03/2025 19:33:55 Epoch 15 val_f_b3lyp_d3_rmse: 0.12090307
17/03/2025 19:36:05 Epoch 16 val_loss: 13.09510136
17/03/2025 19:36:05 Epoch 16 train_e_b3lyp_d3: 0.01133425
17/03/2025 19:36:05 Epoch 16 train_f_b3lyp_d3: 0.12071729
17/03/2025 19:36:05 Epoch 16 train_e_b3lyp_d3_rmse: 0.01133425
17/03/2025 19:36:05 Epoch 16 train_f_b3lyp_d3_rmse: 0.12071729
17/03/2025 19:36:05 Epoch 16 lr-Adam: 0.01000000
17/03/2025 19:36:05 Epoch 16 val_e_b3lyp_d3_rmse: 0.00574181
17/03/2025 19:36:05 Epoch 16 val_f_b3lyp_d3_rmse: 0.11215720
17/03/2025 19:38:14 Epoch 17 val_loss: 13.95900536
17/03/2025 19:38:14 Epoch 17 train_e_b3lyp_d3: 0.02247929
17/03/2025 19:38:14 Epoch 17 train_f_b3lyp_d3: 0.10349029
17/03/2025 19:38:14 Epoch 17 train_e_b3lyp_d3_rmse: 0.02247929
17/03/2025 19:38:14 Epoch 17 train_f_b3lyp_d3_rmse: 0.10349029
17/03/2025 19:38:14 Epoch 17 lr-Adam: 0.01000000
17/03/2025 19:38:14 Epoch 17 val_e_b3lyp_d3_rmse: 0.01744599
17/03/2025 19:38:14 Epoch 17 val_f_b3lyp_d3_rmse: 0.11177244
17/03/2025 19:40:23 Epoch 18 val_loss: 11.63906288
17/03/2025 19:40:23 Epoch 18 train_e_b3lyp_d3: 0.01209909
17/03/2025 19:40:23 Epoch 18 train_f_b3lyp_d3: 0.13940397
17/03/2025 19:40:23 Epoch 18 train_e_b3lyp_d3_rmse: 0.01209909
17/03/2025 19:40:23 Epoch 18 train_f_b3lyp_d3_rmse: 0.13940397
17/03/2025 19:40:23 Epoch 18 lr-Adam: 0.01000000
17/03/2025 19:40:23 Epoch 18 val_e_b3lyp_d3_rmse: 0.00766755
