17/03/2025 19:15:00 Training is starting...
30/04/2025 02:21:40 Training is starting...
30/04/2025 02:23:28 Epoch 0 val_loss: 70.22433472
30/04/2025 02:23:29 Epoch 0 train_e_b3lyp_d4: 0.02979496
30/04/2025 02:23:29 Epoch 0 train_f_b3lyp_d4: 0.22504380
30/04/2025 02:23:29 Epoch 0 train_e_b3lyp_d4_rmse: 0.02979496
30/04/2025 02:23:29 Epoch 0 train_f_b3lyp_d4_rmse: 0.22504380
30/04/2025 02:23:29 Epoch 0 lr-Adam: 0.01000000
30/04/2025 02:23:29 Epoch 0 val_e_b3lyp_d4_rmse: 0.05023695
30/04/2025 02:23:29 Epoch 0 val_f_b3lyp_d4_rmse: 0.24378692
30/04/2025 02:25:23 Epoch 1 val_loss: 85.88922882
30/04/2025 02:25:23 Epoch 1 train_e_b3lyp_d4: 0.03143098
30/04/2025 02:25:23 Epoch 1 train_f_b3lyp_d4: 0.35478720
30/04/2025 02:25:23 Epoch 1 train_e_b3lyp_d4_rmse: 0.03143098
30/04/2025 02:25:23 Epoch 1 train_f_b3lyp_d4_rmse: 0.35478720
30/04/2025 02:25:23 Epoch 1 lr-Adam: 0.01000000
30/04/2025 02:25:23 Epoch 1 val_e_b3lyp_d4_rmse: 0.07328010
30/04/2025 02:25:23 Epoch 1 val_f_b3lyp_d4_rmse: 0.25525531
30/04/2025 02:27:13 Epoch 2 val_loss: 25.00327682
30/04/2025 02:27:13 Epoch 2 train_e_b3lyp_d4: 0.01064543
30/04/2025 02:27:13 Epoch 2 train_f_b3lyp_d4: 0.14029638
30/04/2025 02:27:13 Epoch 2 train_e_b3lyp_d4_rmse: 0.01064543
30/04/2025 02:27:13 Epoch 2 train_f_b3lyp_d4_rmse: 0.14029638
30/04/2025 02:27:13 Epoch 2 lr-Adam: 0.01000000
30/04/2025 02:27:13 Epoch 2 val_e_b3lyp_d4_rmse: 0.00816813
30/04/2025 02:27:13 Epoch 2 val_f_b3lyp_d4_rmse: 0.15491730
30/04/2025 02:29:04 Epoch 3 val_loss: 29.90256882
30/04/2025 02:29:04 Epoch 3 train_e_b3lyp_d4: 0.00718422
30/04/2025 02:29:04 Epoch 3 train_f_b3lyp_d4: 0.15837914
30/04/2025 02:29:04 Epoch 3 train_e_b3lyp_d4_rmse: 0.00718422
30/04/2025 02:29:04 Epoch 3 train_f_b3lyp_d4_rmse: 0.15837914
30/04/2025 02:29:04 Epoch 3 lr-Adam: 0.01000000
30/04/2025 02:29:04 Epoch 3 val_e_b3lyp_d4_rmse: 0.00814554
30/04/2025 02:29:04 Epoch 3 val_f_b3lyp_d4_rmse: 0.16699366
30/04/2025 02:30:56 Epoch 4 val_loss: 19.63357162
30/04/2025 02:30:56 Epoch 4 train_e_b3lyp_d4: 0.04615882
30/04/2025 02:30:56 Epoch 4 train_f_b3lyp_d4: 0.09799719
30/04/2025 02:30:56 Epoch 4 train_e_b3lyp_d4_rmse: 0.04615882
30/04/2025 02:30:56 Epoch 4 train_f_b3lyp_d4_rmse: 0.09799719
30/04/2025 02:30:56 Epoch 4 lr-Adam: 0.01000000
30/04/2025 02:30:56 Epoch 4 val_e_b3lyp_d4_rmse: 0.00475858
30/04/2025 02:30:56 Epoch 4 val_f_b3lyp_d4_rmse: 0.13671768
30/04/2025 02:32:50 Epoch 5 val_loss: 24.63503456
30/04/2025 02:32:51 Epoch 5 train_e_b3lyp_d4: 0.00702169
30/04/2025 02:32:51 Epoch 5 train_f_b3lyp_d4: 0.16910249
30/04/2025 02:32:51 Epoch 5 train_e_b3lyp_d4_rmse: 0.00702169
30/04/2025 02:32:51 Epoch 5 train_f_b3lyp_d4_rmse: 0.16910249
30/04/2025 02:32:51 Epoch 5 lr-Adam: 0.01000000
30/04/2025 02:32:51 Epoch 5 val_e_b3lyp_d4_rmse: 0.00522680
30/04/2025 02:32:51 Epoch 5 val_f_b3lyp_d4_rmse: 0.15548573
30/04/2025 02:34:42 Epoch 6 val_loss: 18.92589569
30/04/2025 02:34:42 Epoch 6 train_e_b3lyp_d4: 0.03552008
30/04/2025 02:34:42 Epoch 6 train_f_b3lyp_d4: 0.12740289
30/04/2025 02:34:42 Epoch 6 train_e_b3lyp_d4_rmse: 0.03552008
30/04/2025 02:34:42 Epoch 6 train_f_b3lyp_d4_rmse: 0.12740289
30/04/2025 02:34:42 Epoch 6 lr-Adam: 0.01000000
30/04/2025 02:34:42 Epoch 6 val_e_b3lyp_d4_rmse: 0.00871999
30/04/2025 02:34:42 Epoch 6 val_f_b3lyp_d4_rmse: 0.13225579
30/04/2025 02:36:34 Epoch 7 val_loss: 17.56240845
30/04/2025 02:36:34 Epoch 7 train_e_b3lyp_d4: 0.02024329
30/04/2025 02:36:34 Epoch 7 train_f_b3lyp_d4: 0.13735133
30/04/2025 02:36:34 Epoch 7 train_e_b3lyp_d4_rmse: 0.02024329
30/04/2025 02:36:34 Epoch 7 train_f_b3lyp_d4_rmse: 0.13735133
30/04/2025 02:36:34 Epoch 7 lr-Adam: 0.01000000
30/04/2025 02:36:34 Epoch 7 val_e_b3lyp_d4_rmse: 0.00729191
30/04/2025 02:36:34 Epoch 7 val_f_b3lyp_d4_rmse: 0.13031478
30/04/2025 02:38:26 Epoch 8 val_loss: 16.25785637
30/04/2025 02:38:26 Epoch 8 train_e_b3lyp_d4: 0.00724146
30/04/2025 02:38:26 Epoch 8 train_f_b3lyp_d4: 0.12488792
30/04/2025 02:38:26 Epoch 8 train_e_b3lyp_d4_rmse: 0.00724146
30/04/2025 02:38:26 Epoch 8 train_f_b3lyp_d4_rmse: 0.12488792
30/04/2025 02:38:26 Epoch 8 lr-Adam: 0.01000000
30/04/2025 02:38:26 Epoch 8 val_e_b3lyp_d4_rmse: 0.02184032
30/04/2025 02:38:26 Epoch 8 val_f_b3lyp_d4_rmse: 0.11782646
30/04/2025 02:40:18 Epoch 9 val_loss: 11.29564953
30/04/2025 02:40:19 Epoch 9 train_e_b3lyp_d4: 0.02231116
30/04/2025 02:40:19 Epoch 9 train_f_b3lyp_d4: 0.09111020
30/04/2025 02:40:19 Epoch 9 train_e_b3lyp_d4_rmse: 0.02231116
30/04/2025 02:40:19 Epoch 9 train_f_b3lyp_d4_rmse: 0.09111020
30/04/2025 02:40:19 Epoch 9 lr-Adam: 0.01000000
30/04/2025 02:40:19 Epoch 9 val_e_b3lyp_d4_rmse: 0.00724080
30/04/2025 02:40:19 Epoch 9 val_f_b3lyp_d4_rmse: 0.10292123
30/04/2025 02:42:13 Epoch 10 val_loss: 13.81099319
30/04/2025 02:42:13 Epoch 10 train_e_b3lyp_d4: 0.01764118
30/04/2025 02:42:13 Epoch 10 train_f_b3lyp_d4: 0.10538047
30/04/2025 02:42:13 Epoch 10 train_e_b3lyp_d4_rmse: 0.01764118
30/04/2025 02:42:13 Epoch 10 train_f_b3lyp_d4_rmse: 0.10538047
30/04/2025 02:42:13 Epoch 10 lr-Adam: 0.01000000
30/04/2025 02:42:13 Epoch 10 val_e_b3lyp_d4_rmse: 0.02173110
30/04/2025 02:42:13 Epoch 10 val_f_b3lyp_d4_rmse: 0.10749763
30/04/2025 02:44:09 Epoch 11 val_loss: 19.20023155
30/04/2025 02:44:09 Epoch 11 train_e_b3lyp_d4: 0.00184213
30/04/2025 02:44:09 Epoch 11 train_f_b3lyp_d4: 0.11837738
30/04/2025 02:44:09 Epoch 11 train_e_b3lyp_d4_rmse: 0.00184213
30/04/2025 02:44:09 Epoch 11 train_f_b3lyp_d4_rmse: 0.11837738
30/04/2025 02:44:09 Epoch 11 lr-Adam: 0.01000000
30/04/2025 02:44:09 Epoch 11 val_e_b3lyp_d4_rmse: 0.00855400
30/04/2025 02:44:09 Epoch 11 val_f_b3lyp_d4_rmse: 0.13611232
30/04/2025 02:46:01 Epoch 12 val_loss: 20.98211098
30/04/2025 02:46:01 Epoch 12 train_e_b3lyp_d4: 0.00352882
30/04/2025 02:46:01 Epoch 12 train_f_b3lyp_d4: 0.08830465
30/04/2025 02:46:01 Epoch 12 train_e_b3lyp_d4_rmse: 0.00352882
30/04/2025 02:46:01 Epoch 12 train_f_b3lyp_d4_rmse: 0.08830465
30/04/2025 02:46:01 Epoch 12 lr-Adam: 0.01000000
30/04/2025 02:46:01 Epoch 12 val_e_b3lyp_d4_rmse: 0.01279109
