17/03/2025 18:20:33 Training is starting...
17/03/2025 18:22:54 Epoch 0 val_loss: 69.19062042
17/03/2025 18:22:54 Epoch 0 train_e_b3lyp: 0.02628996
17/03/2025 18:22:54 Epoch 0 train_f_b3lyp: 0.22742574
17/03/2025 18:22:54 Epoch 0 train_e_b3lyp_rmse: 0.02628996
17/03/2025 18:22:54 Epoch 0 train_f_b3lyp_rmse: 0.22742574
17/03/2025 18:22:54 Epoch 0 lr-Adam: 0.01000000
17/03/2025 18:22:54 Epoch 0 val_e_b3lyp_rmse: 0.06062887
17/03/2025 18:22:54 Epoch 0 val_f_b3lyp_rmse: 0.23387259
17/03/2025 18:25:16 Epoch 1 val_loss: 34.18137741
17/03/2025 18:25:16 Epoch 1 train_e_b3lyp: 0.01626076
17/03/2025 18:25:16 Epoch 1 train_f_b3lyp: 0.19295533
17/03/2025 18:25:16 Epoch 1 train_e_b3lyp_rmse: 0.01626076
17/03/2025 18:25:16 Epoch 1 train_f_b3lyp_rmse: 0.19295533
17/03/2025 18:25:16 Epoch 1 lr-Adam: 0.01000000
17/03/2025 18:25:16 Epoch 1 val_e_b3lyp_rmse: 0.01101878
17/03/2025 18:25:16 Epoch 1 val_f_b3lyp_rmse: 0.18210971
17/03/2025 18:27:38 Epoch 2 val_loss: 20.24492455
17/03/2025 18:27:38 Epoch 2 train_e_b3lyp: 0.01326793
17/03/2025 18:27:38 Epoch 2 train_f_b3lyp: 0.14105040
17/03/2025 18:27:38 Epoch 2 train_e_b3lyp_rmse: 0.01326793
17/03/2025 18:27:38 Epoch 2 train_f_b3lyp_rmse: 0.14105040
17/03/2025 18:27:38 Epoch 2 lr-Adam: 0.01000000
17/03/2025 18:27:38 Epoch 2 val_e_b3lyp_rmse: 0.02510574
17/03/2025 18:27:38 Epoch 2 val_f_b3lyp_rmse: 0.13095990
17/03/2025 18:30:00 Epoch 3 val_loss: 27.15701866
17/03/2025 18:30:00 Epoch 3 train_e_b3lyp: 0.00314952
17/03/2025 18:30:00 Epoch 3 train_f_b3lyp: 0.18640642
17/03/2025 18:30:00 Epoch 3 train_e_b3lyp_rmse: 0.00314952
17/03/2025 18:30:00 Epoch 3 train_f_b3lyp_rmse: 0.18640642
17/03/2025 18:30:00 Epoch 3 lr-Adam: 0.01000000
17/03/2025 18:30:00 Epoch 3 val_e_b3lyp_rmse: 0.00626846
17/03/2025 18:30:00 Epoch 3 val_f_b3lyp_rmse: 0.16203733
17/03/2025 18:32:22 Epoch 4 val_loss: 54.28430939
17/03/2025 18:32:22 Epoch 4 train_e_b3lyp: 0.04605133
