17/03/2025 13:25:25 Training is starting...
17/03/2025 13:27:46 Epoch 0 val_loss: 168.95722961
17/03/2025 13:27:46 Epoch 0 train_e_hse06_d3: 0.12810728
17/03/2025 13:27:46 Epoch 0 train_f_hse06_d3: 0.33049744
17/03/2025 13:27:46 Epoch 0 train_e_hse06_d3_rmse: 0.12810728
17/03/2025 13:27:46 Epoch 0 train_f_hse06_d3_rmse: 0.33049744
17/03/2025 13:27:46 Epoch 0 lr-Adam: 0.01000000
17/03/2025 13:27:46 Epoch 0 val_e_hse06_d3_rmse: 0.13122992
17/03/2025 13:27:46 Epoch 0 val_f_hse06_d3_rmse: 0.32128412
17/03/2025 13:30:07 Epoch 1 val_loss: 122.84284973
17/03/2025 13:30:07 Epoch 1 train_e_hse06_d3: 0.04009430
17/03/2025 13:30:07 Epoch 1 train_f_hse06_d3: 0.21438584
17/03/2025 13:30:07 Epoch 1 train_e_hse06_d3_rmse: 0.04009430
17/03/2025 13:30:07 Epoch 1 train_f_hse06_d3_rmse: 0.21438584
17/03/2025 13:30:07 Epoch 1 lr-Adam: 0.01000000
17/03/2025 13:30:07 Epoch 1 val_e_hse06_d3_rmse: 0.01944496
17/03/2025 13:30:07 Epoch 1 val_f_hse06_d3_rmse: 0.34664160
17/03/2025 13:32:27 Epoch 2 val_loss: 23.41149330
17/03/2025 13:32:27 Epoch 2 train_e_hse06_d3: 0.02044181
17/03/2025 13:32:27 Epoch 2 train_f_hse06_d3: 0.17982736
17/03/2025 13:32:27 Epoch 2 train_e_hse06_d3_rmse: 0.02044181
17/03/2025 13:32:27 Epoch 2 train_f_hse06_d3_rmse: 0.17982736
17/03/2025 13:32:27 Epoch 2 lr-Adam: 0.01000000
17/03/2025 13:32:27 Epoch 2 val_e_hse06_d3_rmse: 0.02950299
17/03/2025 13:32:27 Epoch 2 val_f_hse06_d3_rmse: 0.13955745
17/03/2025 13:34:49 Epoch 3 val_loss: 32.87482834
17/03/2025 13:34:49 Epoch 3 train_e_hse06_d3: 0.04248288
17/03/2025 13:34:49 Epoch 3 train_f_hse06_d3: 0.21135460
17/03/2025 13:34:49 Epoch 3 train_e_hse06_d3_rmse: 0.04248288
17/03/2025 13:34:49 Epoch 3 train_f_hse06_d3_rmse: 0.21135460
17/03/2025 13:34:49 Epoch 3 lr-Adam: 0.01000000
