17/03/2025 13:21:09 Training is starting...
17/03/2025 13:23:28 Epoch 0 val_loss: 56.66019440
17/03/2025 13:23:28 Epoch 0 train_e_hse06: 0.02858537
17/03/2025 13:23:28 Epoch 0 train_f_hse06: 0.29043174
17/03/2025 13:23:28 Epoch 0 train_e_hse06_rmse: 0.02858537
17/03/2025 13:23:28 Epoch 0 train_f_hse06_rmse: 0.29043174
17/03/2025 13:23:28 Epoch 0 lr-Adam: 0.01000000
17/03/2025 13:23:28 Epoch 0 val_e_hse06_rmse: 0.02095188
17/03/2025 13:23:28 Epoch 0 val_f_hse06_rmse: 0.23049834
17/03/2025 13:25:50 Epoch 1 val_loss: 41.33809280
17/03/2025 13:25:50 Epoch 1 train_e_hse06: 0.03045124
17/03/2025 13:25:50 Epoch 1 train_f_hse06: 0.33739227
17/03/2025 13:25:50 Epoch 1 train_e_hse06_rmse: 0.03045124
17/03/2025 13:25:50 Epoch 1 train_f_hse06_rmse: 0.33739227
17/03/2025 13:25:50 Epoch 1 lr-Adam: 0.01000000
17/03/2025 13:25:50 Epoch 1 val_e_hse06_rmse: 0.01504669
17/03/2025 13:25:50 Epoch 1 val_f_hse06_rmse: 0.19924073
17/03/2025 13:28:09 Epoch 2 val_loss: 27.00374222
17/03/2025 13:28:09 Epoch 2 train_e_hse06: 0.01577908
17/03/2025 13:28:09 Epoch 2 train_f_hse06: 0.18654819
17/03/2025 13:28:09 Epoch 2 train_e_hse06_rmse: 0.01577908
17/03/2025 13:28:09 Epoch 2 train_f_hse06_rmse: 0.18654819
17/03/2025 13:28:09 Epoch 2 lr-Adam: 0.01000000
17/03/2025 13:28:09 Epoch 2 val_e_hse06_rmse: 0.01680196
17/03/2025 13:28:09 Epoch 2 val_f_hse06_rmse: 0.15846616
17/03/2025 13:30:31 Epoch 3 val_loss: 16.60838509
17/03/2025 13:30:31 Epoch 3 train_e_hse06: 0.01716063
17/03/2025 13:30:31 Epoch 3 train_f_hse06: 0.13672161
17/03/2025 13:30:31 Epoch 3 train_e_hse06_rmse: 0.01716063
17/03/2025 13:30:31 Epoch 3 train_f_hse06_rmse: 0.13672161
17/03/2025 13:30:31 Epoch 3 lr-Adam: 0.01000000
17/03/2025 13:30:31 Epoch 3 val_e_hse06_rmse: 0.01446431
17/03/2025 13:30:31 Epoch 3 val_f_hse06_rmse: 0.12338405
17/03/2025 13:32:52 Epoch 4 val_loss: 24.93508339
17/03/2025 13:32:52 Epoch 4 train_e_hse06: 0.00887176
17/03/2025 13:32:52 Epoch 4 train_f_hse06: 0.07730397
17/03/2025 13:32:52 Epoch 4 train_e_hse06_rmse: 0.00887176
17/03/2025 13:32:52 Epoch 4 train_f_hse06_rmse: 0.07730397
17/03/2025 13:32:52 Epoch 4 lr-Adam: 0.01000000
17/03/2025 13:32:52 Epoch 4 val_e_hse06_rmse: 0.00519151
17/03/2025 13:32:52 Epoch 4 val_f_hse06_rmse: 0.15624557
17/03/2025 13:35:13 Epoch 5 val_loss: 20.44601822
17/03/2025 13:35:13 Epoch 5 train_e_hse06: 0.04305669
17/03/2025 13:35:13 Epoch 5 train_f_hse06: 0.16689402
17/03/2025 13:35:13 Epoch 5 train_e_hse06_rmse: 0.04305669
17/03/2025 13:35:13 Epoch 5 train_f_hse06_rmse: 0.16689402
17/03/2025 13:35:13 Epoch 5 lr-Adam: 0.01000000
17/03/2025 13:35:13 Epoch 5 val_e_hse06_rmse: 0.03523559
17/03/2025 13:35:13 Epoch 5 val_f_hse06_rmse: 0.12470451
17/03/2025 13:37:35 Epoch 6 val_loss: 10.86614037
17/03/2025 13:37:35 Epoch 6 train_e_hse06: 0.00690480
17/03/2025 13:37:35 Epoch 6 train_f_hse06: 0.13280220
17/03/2025 13:37:35 Epoch 6 train_e_hse06_rmse: 0.00690480
17/03/2025 13:37:35 Epoch 6 train_f_hse06_rmse: 0.13280220
17/03/2025 13:37:35 Epoch 6 lr-Adam: 0.01000000
17/03/2025 13:37:35 Epoch 6 val_e_hse06_rmse: 0.00778569
17/03/2025 13:37:35 Epoch 6 val_f_hse06_rmse: 0.10086913
17/03/2025 13:39:57 Epoch 7 val_loss: 10.22078228
17/03/2025 13:39:57 Epoch 7 train_e_hse06: 0.00478553
17/03/2025 13:39:57 Epoch 7 train_f_hse06: 0.12278470
17/03/2025 13:39:57 Epoch 7 train_e_hse06_rmse: 0.00478553
17/03/2025 13:39:57 Epoch 7 train_f_hse06_rmse: 0.12278470
17/03/2025 13:39:57 Epoch 7 lr-Adam: 0.01000000
17/03/2025 13:39:57 Epoch 7 val_e_hse06_rmse: 0.01481436
17/03/2025 13:39:57 Epoch 7 val_f_hse06_rmse: 0.09471762
17/03/2025 13:42:17 Epoch 8 val_loss: 10.15641212
17/03/2025 13:42:17 Epoch 8 train_e_hse06: 0.01254705
17/03/2025 13:42:17 Epoch 8 train_f_hse06: 0.12827910
17/03/2025 13:42:17 Epoch 8 train_e_hse06_rmse: 0.01254705
17/03/2025 13:42:17 Epoch 8 train_f_hse06_rmse: 0.12827910
17/03/2025 13:42:17 Epoch 8 lr-Adam: 0.01000000
17/03/2025 13:42:17 Epoch 8 val_e_hse06_rmse: 0.00278876
17/03/2025 13:42:17 Epoch 8 val_f_hse06_rmse: 0.09819155
17/03/2025 13:44:39 Epoch 9 val_loss: 9.47863293
17/03/2025 13:44:39 Epoch 9 train_e_hse06: 0.01720772
17/03/2025 13:44:39 Epoch 9 train_f_hse06: 0.11373765
17/03/2025 13:44:39 Epoch 9 train_e_hse06_rmse: 0.01720772
17/03/2025 13:44:39 Epoch 9 train_f_hse06_rmse: 0.11373765
17/03/2025 13:44:39 Epoch 9 lr-Adam: 0.01000000
17/03/2025 13:44:39 Epoch 9 val_e_hse06_rmse: 0.01266899
17/03/2025 13:44:39 Epoch 9 val_f_hse06_rmse: 0.09245095
17/03/2025 13:47:01 Epoch 10 val_loss: 11.29439354
17/03/2025 13:47:01 Epoch 10 train_e_hse06: 0.00812508
17/03/2025 13:47:01 Epoch 10 train_f_hse06: 0.06011868
17/03/2025 13:47:01 Epoch 10 train_e_hse06_rmse: 0.00812508
17/03/2025 13:47:01 Epoch 10 train_f_hse06_rmse: 0.06011868
17/03/2025 13:47:01 Epoch 10 lr-Adam: 0.01000000
17/03/2025 13:47:01 Epoch 10 val_e_hse06_rmse: 0.00734048
17/03/2025 13:47:01 Epoch 10 val_f_hse06_rmse: 0.10400774
17/03/2025 13:49:23 Epoch 11 val_loss: 11.96707916
