23/02/2025 08:40:19 Training is starting...
23/02/2025 08:42:20 Epoch 0 val_loss: 331495.93750000
23/02/2025 08:42:20 Epoch 0 train_e_optb88vdw: 6.13821459
23/02/2025 08:42:20 Epoch 0 train_f_optb88vdw: 6.23189068
23/02/2025 08:42:20 Epoch 0 train_e_optb88vdw_rmse: 6.13821459
23/02/2025 08:42:20 Epoch 0 train_f_optb88vdw_rmse: 6.23189068
23/02/2025 08:42:20 Epoch 0 lr-Adam: 0.01000000
23/02/2025 08:42:20 Epoch 0 val_e_optb88vdw_rmse: 9.00013924
23/02/2025 08:42:20 Epoch 0 val_f_optb88vdw_rmse: 5.69505930
23/02/2025 08:44:21 Epoch 1 val_loss: 212002.09375000
23/02/2025 08:44:21 Epoch 1 train_e_optb88vdw: 8.36532497
23/02/2025 08:44:21 Epoch 1 train_f_optb88vdw: 2.93037128
23/02/2025 08:44:21 Epoch 1 train_e_optb88vdw_rmse: 8.36532497
23/02/2025 08:44:21 Epoch 1 train_f_optb88vdw_rmse: 2.93037128
23/02/2025 08:44:21 Epoch 1 lr-Adam: 0.01000000
23/02/2025 08:44:21 Epoch 1 val_e_optb88vdw_rmse: 7.36595917
23/02/2025 08:44:21 Epoch 1 val_f_optb88vdw_rmse: 3.38609338
23/02/2025 08:46:27 Epoch 2 val_loss: 123428.39062500
23/02/2025 08:46:27 Epoch 2 train_e_optb88vdw: 0.56951159
23/02/2025 08:46:27 Epoch 2 train_f_optb88vdw: 2.35024309
23/02/2025 08:46:27 Epoch 2 train_e_optb88vdw_rmse: 0.56951159
23/02/2025 08:46:27 Epoch 2 train_f_optb88vdw_rmse: 2.35024309
23/02/2025 08:46:27 Epoch 2 lr-Adam: 0.01000000
23/02/2025 08:46:27 Epoch 2 val_e_optb88vdw_rmse: 5.65999317
23/02/2025 08:46:27 Epoch 2 val_f_optb88vdw_rmse: 2.19867563
23/02/2025 08:48:28 Epoch 3 val_loss: 7688.95458984
23/02/2025 08:48:28 Epoch 3 train_e_optb88vdw: 0.33053833
