03/06/2025 12:05:35 Training is starting...
03/06/2025 12:07:07 Epoch 0 val_loss: 92.64826202
03/06/2025 12:07:07 Epoch 0 train_e_pbe0_d4: 0.06871666
03/06/2025 12:07:07 Epoch 0 train_f_pbe0_d4: 0.30710912
03/06/2025 12:07:07 Epoch 0 train_e_pbe0_d4_rmse: 0.06871666
03/06/2025 12:07:07 Epoch 0 train_f_pbe0_d4_rmse: 0.30710912
03/06/2025 12:07:07 Epoch 0 lr-Adam: 0.01000000
03/06/2025 12:07:07 Epoch 0 val_e_pbe0_d4_rmse: 0.02357027
03/06/2025 12:07:07 Epoch 0 val_f_pbe0_d4_rmse: 0.29886132
03/06/2025 12:08:42 Epoch 1 val_loss: 34.81466675
03/06/2025 12:08:42 Epoch 1 train_e_pbe0_d4: 0.02380251
03/06/2025 12:08:42 Epoch 1 train_f_pbe0_d4: 0.23875846
03/06/2025 12:08:42 Epoch 1 train_e_pbe0_d4_rmse: 0.02380251
03/06/2025 12:08:42 Epoch 1 train_f_pbe0_d4_rmse: 0.23875846
03/06/2025 12:08:42 Epoch 1 lr-Adam: 0.01000000
03/06/2025 12:08:42 Epoch 1 val_e_pbe0_d4_rmse: 0.02715772
03/06/2025 12:08:42 Epoch 1 val_f_pbe0_d4_rmse: 0.17611413
03/06/2025 12:10:17 Epoch 2 val_loss: 47.51778793
03/06/2025 12:10:17 Epoch 2 train_e_pbe0_d4: 0.00464019
03/06/2025 12:10:17 Epoch 2 train_f_pbe0_d4: 0.12693052
03/06/2025 12:10:17 Epoch 2 train_e_pbe0_d4_rmse: 0.00464019
03/06/2025 12:10:17 Epoch 2 train_f_pbe0_d4_rmse: 0.12693052
03/06/2025 12:10:17 Epoch 2 lr-Adam: 0.01000000
03/06/2025 12:10:17 Epoch 2 val_e_pbe0_d4_rmse: 0.01298701
03/06/2025 12:10:17 Epoch 2 val_f_pbe0_d4_rmse: 0.21510033
03/06/2025 12:11:52 Epoch 3 val_loss: 23.50196266
03/06/2025 12:11:52 Epoch 3 train_e_pbe0_d4: 0.03697935
03/06/2025 12:11:52 Epoch 3 train_f_pbe0_d4: 0.14799358
03/06/2025 12:11:52 Epoch 3 train_e_pbe0_d4_rmse: 0.03697935
03/06/2025 12:11:52 Epoch 3 train_f_pbe0_d4_rmse: 0.14799358
03/06/2025 12:11:52 Epoch 3 lr-Adam: 0.01000000
03/06/2025 12:11:52 Epoch 3 val_e_pbe0_d4_rmse: 0.02997108
03/06/2025 12:11:52 Epoch 3 val_f_pbe0_d4_rmse: 0.14013113
03/06/2025 12:13:28 Epoch 4 val_loss: 14.94645977
03/06/2025 12:13:28 Epoch 4 train_e_pbe0_d4: 0.01329233
03/06/2025 12:13:28 Epoch 4 train_f_pbe0_d4: 0.08128208
03/06/2025 12:13:28 Epoch 4 train_e_pbe0_d4_rmse: 0.01329233
03/06/2025 12:13:28 Epoch 4 train_f_pbe0_d4_rmse: 0.08128208
03/06/2025 12:13:28 Epoch 4 lr-Adam: 0.01000000
03/06/2025 12:13:28 Epoch 4 val_e_pbe0_d4_rmse: 0.02944434
03/06/2025 12:13:28 Epoch 4 val_f_pbe0_d4_rmse: 0.10436572
03/06/2025 12:15:03 Epoch 5 val_loss: 12.15178299
03/06/2025 12:15:03 Epoch 5 train_e_pbe0_d4: 0.00731333
03/06/2025 12:15:03 Epoch 5 train_f_pbe0_d4: 0.11940948
03/06/2025 12:15:03 Epoch 5 train_e_pbe0_d4_rmse: 0.00731333
03/06/2025 12:15:03 Epoch 5 train_f_pbe0_d4_rmse: 0.11940948
03/06/2025 12:15:03 Epoch 5 lr-Adam: 0.01000000
03/06/2025 12:15:03 Epoch 5 val_e_pbe0_d4_rmse: 0.00565223
03/06/2025 12:15:03 Epoch 5 val_f_pbe0_d4_rmse: 0.10420677
03/06/2025 12:16:38 Epoch 6 val_loss: 11.15393066
03/06/2025 12:16:38 Epoch 6 train_e_pbe0_d4: 0.01124925
03/06/2025 12:16:38 Epoch 6 train_f_pbe0_d4: 0.04980586
03/06/2025 12:16:38 Epoch 6 train_e_pbe0_d4_rmse: 0.01124925
03/06/2025 12:16:38 Epoch 6 train_f_pbe0_d4_rmse: 0.04980586
03/06/2025 12:16:38 Epoch 6 lr-Adam: 0.01000000
03/06/2025 12:16:38 Epoch 6 val_e_pbe0_d4_rmse: 0.02359289
03/06/2025 12:16:38 Epoch 6 val_f_pbe0_d4_rmse: 0.09243410
03/06/2025 12:18:14 Epoch 7 val_loss: 15.02539539
