01/03/2025 11:21:45 Training is starting...
01/03/2025 11:23:38 Epoch 0 val_loss: 95.65566254
01/03/2025 11:23:38 Epoch 0 train_e_pbe0: 0.03283564
01/03/2025 11:23:38 Epoch 0 train_f_pbe0: 0.30676118
01/03/2025 11:23:38 Epoch 0 train_e_pbe0_rmse: 0.03283564
01/03/2025 11:23:38 Epoch 0 train_f_pbe0_rmse: 0.30676118
01/03/2025 11:23:38 Epoch 0 lr-Adam: 0.01000000
01/03/2025 11:23:38 Epoch 0 val_e_pbe0_rmse: 0.03542800
01/03/2025 11:23:38 Epoch 0 val_f_pbe0_rmse: 0.29960060
01/03/2025 11:25:30 Epoch 1 val_loss: 25.97451591
01/03/2025 11:25:30 Epoch 1 train_e_pbe0: 0.05845220
01/03/2025 11:25:30 Epoch 1 train_f_pbe0: 0.18150628
01/03/2025 11:25:30 Epoch 1 train_e_pbe0_rmse: 0.05845220
01/03/2025 11:25:30 Epoch 1 train_f_pbe0_rmse: 0.18150628
01/03/2025 11:25:30 Epoch 1 lr-Adam: 0.01000000
01/03/2025 11:25:30 Epoch 1 val_e_pbe0_rmse: 0.02912730
01/03/2025 11:25:30 Epoch 1 val_f_pbe0_rmse: 0.14863604
01/03/2025 11:27:23 Epoch 2 val_loss: 50.58313751
01/03/2025 11:27:23 Epoch 2 train_e_pbe0: 0.01388379
01/03/2025 11:27:23 Epoch 2 train_f_pbe0: 0.26173902
01/03/2025 11:27:23 Epoch 2 train_e_pbe0_rmse: 0.01388379
01/03/2025 11:27:23 Epoch 2 train_f_pbe0_rmse: 0.26173902
01/03/2025 11:27:23 Epoch 2 lr-Adam: 0.01000000
01/03/2025 11:27:23 Epoch 2 val_e_pbe0_rmse: 0.00772991
01/03/2025 11:27:23 Epoch 2 val_f_pbe0_rmse: 0.22370574
01/03/2025 11:29:15 Epoch 3 val_loss: 17.53491783
01/03/2025 11:29:15 Epoch 3 train_e_pbe0: 0.02348426
01/03/2025 11:29:15 Epoch 3 train_f_pbe0: 0.12394997
01/03/2025 11:29:15 Epoch 3 train_e_pbe0_rmse: 0.02348426
01/03/2025 11:29:15 Epoch 3 train_f_pbe0_rmse: 0.12394997
01/03/2025 11:29:15 Epoch 3 lr-Adam: 0.01000000
01/03/2025 11:29:15 Epoch 3 val_e_pbe0_rmse: 0.01099186
01/03/2025 11:29:15 Epoch 3 val_f_pbe0_rmse: 0.12809567
01/03/2025 11:31:07 Epoch 4 val_loss: 26.65909576
01/03/2025 11:31:07 Epoch 4 train_e_pbe0: 0.02809318
01/03/2025 11:31:07 Epoch 4 train_f_pbe0: 0.21142296
01/03/2025 11:31:07 Epoch 4 train_e_pbe0_rmse: 0.02809318
01/03/2025 11:31:07 Epoch 4 train_f_pbe0_rmse: 0.21142296
01/03/2025 11:31:07 Epoch 4 lr-Adam: 0.01000000
01/03/2025 11:31:07 Epoch 4 val_e_pbe0_rmse: 0.03208411
