01/03/2025 11:21:22 Training is starting...
01/03/2025 11:22:31 Epoch 0 val_loss: 100.76779175
01/03/2025 11:22:31 Epoch 0 train_e_pbe0: 0.01254232
01/03/2025 11:22:31 Epoch 0 train_f_pbe0: 0.24287331
01/03/2025 11:22:31 Epoch 0 train_e_pbe0_rmse: 0.01254232
01/03/2025 11:22:31 Epoch 0 train_f_pbe0_rmse: 0.24287331
01/03/2025 11:22:31 Epoch 0 lr-Adam: 0.01000000
01/03/2025 11:22:31 Epoch 0 val_e_pbe0_rmse: 0.02500614
01/03/2025 11:22:31 Epoch 0 val_f_pbe0_rmse: 0.30911717
01/03/2025 11:23:39 Epoch 1 val_loss: 99.70688629
01/03/2025 11:23:39 Epoch 1 train_e_pbe0: 0.04174107
01/03/2025 11:23:39 Epoch 1 train_f_pbe0: 0.36520743
01/03/2025 11:23:39 Epoch 1 train_e_pbe0_rmse: 0.04174107
01/03/2025 11:23:39 Epoch 1 train_f_pbe0_rmse: 0.36520743
01/03/2025 11:23:39 Epoch 1 lr-Adam: 0.01000000
01/03/2025 11:23:39 Epoch 1 val_e_pbe0_rmse: 0.03911746
01/03/2025 11:23:39 Epoch 1 val_f_pbe0_rmse: 0.30637553
01/03/2025 11:24:47 Epoch 2 val_loss: 21.54504967
01/03/2025 11:24:47 Epoch 2 train_e_pbe0: 0.01508688
01/03/2025 11:24:47 Epoch 2 train_f_pbe0: 0.13208538
01/03/2025 11:24:47 Epoch 2 train_e_pbe0_rmse: 0.01508688
01/03/2025 11:24:47 Epoch 2 train_f_pbe0_rmse: 0.13208538
01/03/2025 11:24:47 Epoch 2 lr-Adam: 0.01000000
01/03/2025 11:24:47 Epoch 2 val_e_pbe0_rmse: 0.03045691
01/03/2025 11:24:47 Epoch 2 val_f_pbe0_rmse: 0.13262682
01/03/2025 11:25:56 Epoch 3 val_loss: 30.83058167
01/03/2025 11:25:56 Epoch 3 train_e_pbe0: 0.00621710
01/03/2025 11:25:56 Epoch 3 train_f_pbe0: 0.13778217
01/03/2025 11:25:56 Epoch 3 train_e_pbe0_rmse: 0.00621710
01/03/2025 11:25:56 Epoch 3 train_f_pbe0_rmse: 0.13778217
01/03/2025 11:25:56 Epoch 3 lr-Adam: 0.01000000
01/03/2025 11:25:56 Epoch 3 val_e_pbe0_rmse: 0.03062330
01/03/2025 11:25:56 Epoch 3 val_f_pbe0_rmse: 0.16367833
01/03/2025 11:27:05 Epoch 4 val_loss: 16.50270271
01/03/2025 11:27:05 Epoch 4 train_e_pbe0: 0.01648405
01/03/2025 11:27:05 Epoch 4 train_f_pbe0: 0.09239634
01/03/2025 11:27:05 Epoch 4 train_e_pbe0_rmse: 0.01648405
01/03/2025 11:27:05 Epoch 4 train_f_pbe0_rmse: 0.09239634
01/03/2025 11:27:05 Epoch 4 lr-Adam: 0.01000000
01/03/2025 11:27:05 Epoch 4 val_e_pbe0_rmse: 0.01304055
01/03/2025 11:27:05 Epoch 4 val_f_pbe0_rmse: 0.12435928
01/03/2025 11:28:14 Epoch 5 val_loss: 14.38785076
01/03/2025 11:28:14 Epoch 5 train_e_pbe0: 0.00890449
01/03/2025 11:28:14 Epoch 5 train_f_pbe0: 0.12960702
01/03/2025 11:28:14 Epoch 5 train_e_pbe0_rmse: 0.00890449
01/03/2025 11:28:14 Epoch 5 train_f_pbe0_rmse: 0.12960702
01/03/2025 11:28:14 Epoch 5 lr-Adam: 0.01000000
01/03/2025 11:28:14 Epoch 5 val_e_pbe0_rmse: 0.01048226
01/03/2025 11:28:14 Epoch 5 val_f_pbe0_rmse: 0.11610381
01/03/2025 11:29:23 Epoch 6 val_loss: 11.63232136
01/03/2025 11:29:23 Epoch 6 train_e_pbe0: 0.00457789
01/03/2025 11:29:23 Epoch 6 train_f_pbe0: 0.09315588
01/03/2025 11:29:23 Epoch 6 train_e_pbe0_rmse: 0.00457789
01/03/2025 11:29:23 Epoch 6 train_f_pbe0_rmse: 0.09315588
01/03/2025 11:29:23 Epoch 6 lr-Adam: 0.01000000
01/03/2025 11:29:23 Epoch 6 val_e_pbe0_rmse: 0.01970583
01/03/2025 11:29:23 Epoch 6 val_f_pbe0_rmse: 0.09824450
01/03/2025 11:30:30 Epoch 7 val_loss: 17.71124077
01/03/2025 11:30:30 Epoch 7 train_e_pbe0: 0.01619382
01/03/2025 11:30:30 Epoch 7 train_f_pbe0: 0.16301890
01/03/2025 11:30:30 Epoch 7 train_e_pbe0_rmse: 0.01619382
01/03/2025 11:30:30 Epoch 7 train_f_pbe0_rmse: 0.16301890
01/03/2025 11:30:30 Epoch 7 lr-Adam: 0.01000000
01/03/2025 11:30:30 Epoch 7 val_e_pbe0_rmse: 0.00867972
01/03/2025 11:30:30 Epoch 7 val_f_pbe0_rmse: 0.13025428
01/03/2025 11:31:39 Epoch 8 val_loss: 9.37491989
01/03/2025 11:31:39 Epoch 8 train_e_pbe0: 0.00532975
01/03/2025 11:31:39 Epoch 8 train_f_pbe0: 0.08847420
01/03/2025 11:31:39 Epoch 8 train_e_pbe0_rmse: 0.00532975
01/03/2025 11:31:39 Epoch 8 train_f_pbe0_rmse: 0.08847420
01/03/2025 11:31:39 Epoch 8 lr-Adam: 0.01000000
01/03/2025 11:31:39 Epoch 8 val_e_pbe0_rmse: 0.00351994
01/03/2025 11:31:39 Epoch 8 val_f_pbe0_rmse: 0.09464441
01/03/2025 11:32:49 Epoch 9 val_loss: 12.51234436
01/03/2025 11:32:49 Epoch 9 train_e_pbe0: 0.00193178
01/03/2025 11:32:49 Epoch 9 train_f_pbe0: 0.08949534
01/03/2025 11:32:49 Epoch 9 train_e_pbe0_rmse: 0.00193178
01/03/2025 11:32:49 Epoch 9 train_f_pbe0_rmse: 0.08949534
01/03/2025 11:32:49 Epoch 9 lr-Adam: 0.01000000
01/03/2025 11:32:49 Epoch 9 val_e_pbe0_rmse: 0.00286718
01/03/2025 11:32:49 Epoch 9 val_f_pbe0_rmse: 0.10998365
01/03/2025 11:33:58 Epoch 10 val_loss: 8.64398956
01/03/2025 11:33:58 Epoch 10 train_e_pbe0: 0.01217568
01/03/2025 11:33:58 Epoch 10 train_f_pbe0: 0.09765694
01/03/2025 11:33:58 Epoch 10 train_e_pbe0_rmse: 0.01217568
01/03/2025 11:33:58 Epoch 10 train_f_pbe0_rmse: 0.09765694
01/03/2025 11:33:58 Epoch 10 lr-Adam: 0.01000000
01/03/2025 11:33:58 Epoch 10 val_e_pbe0_rmse: 0.00289443
01/03/2025 11:33:58 Epoch 10 val_f_pbe0_rmse: 0.09018877
01/03/2025 11:35:07 Epoch 11 val_loss: 22.99462891
01/03/2025 11:35:07 Epoch 11 train_e_pbe0: 0.01206403
01/03/2025 11:35:07 Epoch 11 train_f_pbe0: 0.10902046
01/03/2025 11:35:07 Epoch 11 train_e_pbe0_rmse: 0.01206403
01/03/2025 11:35:07 Epoch 11 train_f_pbe0_rmse: 0.10902046
01/03/2025 11:35:07 Epoch 11 lr-Adam: 0.01000000
01/03/2025 11:35:07 Epoch 11 val_e_pbe0_rmse: 0.02325160
01/03/2025 11:35:07 Epoch 11 val_f_pbe0_rmse: 0.14298972
01/03/2025 11:36:16 Epoch 12 val_loss: 12.39419937
01/03/2025 11:36:16 Epoch 12 train_e_pbe0: 0.00553709
01/03/2025 11:36:16 Epoch 12 train_f_pbe0: 0.07303884
01/03/2025 11:36:16 Epoch 12 train_e_pbe0_rmse: 0.00553709
01/03/2025 11:36:16 Epoch 12 train_f_pbe0_rmse: 0.07303884
01/03/2025 11:36:16 Epoch 12 lr-Adam: 0.01000000
01/03/2025 11:36:16 Epoch 12 val_e_pbe0_rmse: 0.00622516
01/03/2025 11:36:16 Epoch 12 val_f_pbe0_rmse: 0.10902578
01/03/2025 11:37:25 Epoch 13 val_loss: 14.84395409
01/03/2025 11:37:25 Epoch 13 train_e_pbe0: 0.00815982
01/03/2025 11:37:25 Epoch 13 train_f_pbe0: 0.08460418
