17/03/2025 20:44:47 Training is starting...
17/03/2025 21:44:27 Epoch 0 val_loss: 41.81621170
17/03/2025 21:44:27 Epoch 0 train_e_pbe_d3: 0.05723722
17/03/2025 21:44:27 Epoch 0 train_f_pbe_d3: 0.20935658
17/03/2025 21:44:27 Epoch 0 train_e_pbe_d3_rmse: 0.05723722
17/03/2025 21:44:27 Epoch 0 train_f_pbe_d3_rmse: 0.20935658
17/03/2025 21:44:27 Epoch 0 lr-Adam: 0.01000000
17/03/2025 21:44:27 Epoch 0 val_e_pbe_d3_rmse: 0.02619547
17/03/2025 21:44:27 Epoch 0 val_f_pbe_d3_rmse: 0.19518085
17/03/2025 21:46:07 Epoch 1 val_loss: 50.13548279
17/03/2025 21:46:07 Epoch 1 train_e_pbe_d3: 0.00496732
17/03/2025 21:46:07 Epoch 1 train_f_pbe_d3: 0.37677625
17/03/2025 21:46:07 Epoch 1 train_e_pbe_d3_rmse: 0.00496732
17/03/2025 21:46:07 Epoch 1 train_f_pbe_d3_rmse: 0.37677625
17/03/2025 21:46:07 Epoch 1 lr-Adam: 0.01000000
17/03/2025 21:46:07 Epoch 1 val_e_pbe_d3_rmse: 0.03213542
17/03/2025 21:46:07 Epoch 1 val_f_pbe_d3_rmse: 0.21451980
17/03/2025 21:47:43 Epoch 2 val_loss: 12.82819557
17/03/2025 21:47:43 Epoch 2 train_e_pbe_d3: 0.00917090
17/03/2025 21:47:43 Epoch 2 train_f_pbe_d3: 0.10586318
17/03/2025 21:47:43 Epoch 2 train_e_pbe_d3_rmse: 0.00917090
17/03/2025 21:47:43 Epoch 2 train_f_pbe_d3_rmse: 0.10586318
17/03/2025 21:47:43 Epoch 2 lr-Adam: 0.01000000
17/03/2025 21:47:43 Epoch 2 val_e_pbe_d3_rmse: 0.01699337
17/03/2025 21:47:43 Epoch 2 val_f_pbe_d3_rmse: 0.10522144
17/03/2025 22:55:32 Epoch 3 val_loss: 17.24075317
17/03/2025 22:55:32 Epoch 3 train_e_pbe_d3: 0.04602118
17/03/2025 22:55:32 Epoch 3 train_f_pbe_d3: 0.15553816
17/03/2025 22:55:32 Epoch 3 train_e_pbe_d3_rmse: 0.04602118
17/03/2025 22:55:32 Epoch 3 train_f_pbe_d3_rmse: 0.15553816
17/03/2025 22:55:32 Epoch 3 lr-Adam: 0.01000000
17/03/2025 22:55:32 Epoch 3 val_e_pbe_d3_rmse: 0.03770098
17/03/2025 22:55:32 Epoch 3 val_f_pbe_d3_rmse: 0.10599391
18/03/2025 00:07:54 Epoch 4 val_loss: 27.55198669
18/03/2025 00:07:54 Epoch 4 train_e_pbe_d3: 0.05155759
18/03/2025 00:07:54 Epoch 4 train_f_pbe_d3: 0.11382201
18/03/2025 00:07:54 Epoch 4 train_e_pbe_d3_rmse: 0.05155759
18/03/2025 00:07:54 Epoch 4 train_f_pbe_d3_rmse: 0.11382201
18/03/2025 00:07:54 Epoch 4 lr-Adam: 0.01000000
18/03/2025 00:07:54 Epoch 4 val_e_pbe_d3_rmse: 0.05853746
18/03/2025 00:07:54 Epoch 4 val_f_pbe_d3_rmse: 0.11982989
18/03/2025 01:20:27 Epoch 5 val_loss: 11.79070187
18/03/2025 01:20:27 Epoch 5 train_e_pbe_d3: 0.03622198
18/03/2025 01:20:27 Epoch 5 train_f_pbe_d3: 0.09081946
18/03/2025 01:20:27 Epoch 5 train_e_pbe_d3_rmse: 0.03622198
18/03/2025 01:20:27 Epoch 5 train_f_pbe_d3_rmse: 0.09081946
18/03/2025 01:20:27 Epoch 5 lr-Adam: 0.01000000
18/03/2025 01:20:27 Epoch 5 val_e_pbe_d3_rmse: 0.02515885
18/03/2025 01:20:27 Epoch 5 val_f_pbe_d3_rmse: 0.09440159
18/03/2025 02:32:30 Epoch 6 val_loss: 14.19638824
18/03/2025 02:32:30 Epoch 6 train_e_pbe_d3: 0.00525257
18/03/2025 02:32:30 Epoch 6 train_f_pbe_d3: 0.06662708
18/03/2025 02:32:30 Epoch 6 train_e_pbe_d3_rmse: 0.00525257
18/03/2025 02:32:30 Epoch 6 train_f_pbe_d3_rmse: 0.06662708
18/03/2025 02:32:30 Epoch 6 lr-Adam: 0.01000000
