17/03/2025 11:29:33 Training is starting...
17/03/2025 11:31:54 Epoch 0 val_loss: 69.46910095
17/03/2025 11:31:54 Epoch 0 train_e_pbe: 0.02227051
17/03/2025 11:31:54 Epoch 0 train_f_pbe: 0.25198457
17/03/2025 11:31:54 Epoch 0 train_e_pbe_rmse: 0.02227051
17/03/2025 11:31:54 Epoch 0 train_f_pbe_rmse: 0.25198457
17/03/2025 11:31:54 Epoch 0 lr-Adam: 0.01000000
17/03/2025 11:31:54 Epoch 0 val_e_pbe_rmse: 0.03766548
17/03/2025 11:31:54 Epoch 0 val_f_pbe_rmse: 0.25215027
17/03/2025 11:34:17 Epoch 1 val_loss: 38.45964050
17/03/2025 11:34:17 Epoch 1 train_e_pbe: 0.02177256
17/03/2025 11:34:17 Epoch 1 train_f_pbe: 0.22042637
17/03/2025 11:34:17 Epoch 1 train_e_pbe_rmse: 0.02177256
17/03/2025 11:34:17 Epoch 1 train_f_pbe_rmse: 0.22042637
17/03/2025 11:34:17 Epoch 1 lr-Adam: 0.01000000
17/03/2025 11:34:17 Epoch 1 val_e_pbe_rmse: 0.02532835
17/03/2025 11:34:17 Epoch 1 val_f_pbe_rmse: 0.18868299
17/03/2025 11:36:40 Epoch 2 val_loss: 41.74618149
17/03/2025 11:36:40 Epoch 2 train_e_pbe: 0.01648330
17/03/2025 11:36:40 Epoch 2 train_f_pbe: 0.13321404
17/03/2025 11:36:40 Epoch 2 train_e_pbe_rmse: 0.01648330
17/03/2025 11:36:40 Epoch 2 train_f_pbe_rmse: 0.13321404
17/03/2025 11:36:40 Epoch 2 lr-Adam: 0.01000000
17/03/2025 11:36:40 Epoch 2 val_e_pbe_rmse: 0.02963301
17/03/2025 11:36:40 Epoch 2 val_f_pbe_rmse: 0.19517402
17/03/2025 11:39:04 Epoch 3 val_loss: 27.87639999
17/03/2025 11:39:04 Epoch 3 train_e_pbe: 0.01258423
17/03/2025 11:39:04 Epoch 3 train_f_pbe: 0.11686186
