17/03/2025 20:44:46 Training is starting...
17/03/2025 20:46:16 Epoch 0 val_loss: 105.17066193
17/03/2025 20:46:16 Epoch 0 train_e_r2scan_d4: 0.06294019
17/03/2025 20:46:16 Epoch 0 train_f_r2scan_d4: 0.38627222
17/03/2025 20:46:16 Epoch 0 train_e_r2scan_d4_rmse: 0.06294019
17/03/2025 20:46:16 Epoch 0 train_f_r2scan_d4_rmse: 0.38627222
17/03/2025 20:46:16 Epoch 0 lr-Adam: 0.01000000
17/03/2025 20:46:16 Epoch 0 val_e_r2scan_d4_rmse: 0.07899570
17/03/2025 20:46:16 Epoch 0 val_f_r2scan_d4_rmse: 0.28344497
17/03/2025 20:47:51 Epoch 1 val_loss: 27.00979805
17/03/2025 20:47:51 Epoch 1 train_e_r2scan_d4: 0.02733377
17/03/2025 20:47:51 Epoch 1 train_f_r2scan_d4: 0.38676313
17/03/2025 20:47:51 Epoch 1 train_e_r2scan_d4_rmse: 0.02733377
17/03/2025 20:47:51 Epoch 1 train_f_r2scan_d4_rmse: 0.38676313
17/03/2025 20:47:51 Epoch 1 lr-Adam: 0.01000000
17/03/2025 20:47:51 Epoch 1 val_e_r2scan_d4_rmse: 0.01222600
17/03/2025 20:47:51 Epoch 1 val_f_r2scan_d4_rmse: 0.15888838
17/03/2025 20:49:27 Epoch 2 val_loss: 33.16085815
17/03/2025 20:49:27 Epoch 2 train_e_r2scan_d4: 0.00499137
17/03/2025 20:49:27 Epoch 2 train_f_r2scan_d4: 0.13770150
17/03/2025 20:49:27 Epoch 2 train_e_r2scan_d4_rmse: 0.00499137
17/03/2025 20:49:27 Epoch 2 train_f_r2scan_d4_rmse: 0.13770150
17/03/2025 20:49:27 Epoch 2 lr-Adam: 0.01000000
17/03/2025 20:49:27 Epoch 2 val_e_r2scan_d4_rmse: 0.00740812
17/03/2025 20:49:27 Epoch 2 val_f_r2scan_d4_rmse: 0.18029942
17/03/2025 20:51:04 Epoch 3 val_loss: 28.76570892
17/03/2025 20:51:04 Epoch 3 train_e_r2scan_d4: 0.00195768
17/03/2025 20:51:04 Epoch 3 train_f_r2scan_d4: 0.11256257
17/03/2025 20:51:04 Epoch 3 train_e_r2scan_d4_rmse: 0.00195768
17/03/2025 20:51:04 Epoch 3 train_f_r2scan_d4_rmse: 0.11256257
17/03/2025 20:51:04 Epoch 3 lr-Adam: 0.01000000
17/03/2025 20:51:04 Epoch 3 val_e_r2scan_d4_rmse: 0.00681288
17/03/2025 20:51:04 Epoch 3 val_f_r2scan_d4_rmse: 0.16382709
17/03/2025 20:52:41 Epoch 4 val_loss: 12.22679424
17/03/2025 20:52:41 Epoch 4 train_e_r2scan_d4: 0.00671330
17/03/2025 20:52:41 Epoch 4 train_f_r2scan_d4: 0.08158552
17/03/2025 20:52:41 Epoch 4 train_e_r2scan_d4_rmse: 0.00671330
17/03/2025 20:52:41 Epoch 4 train_f_r2scan_d4_rmse: 0.08158552
17/03/2025 20:52:41 Epoch 4 lr-Adam: 0.01000000
17/03/2025 20:52:41 Epoch 4 val_e_r2scan_d4_rmse: 0.00252844
17/03/2025 20:52:41 Epoch 4 val_f_r2scan_d4_rmse: 0.10875783
17/03/2025 20:54:16 Epoch 5 val_loss: 13.55881405
17/03/2025 20:54:16 Epoch 5 train_e_r2scan_d4: 0.00523080
17/03/2025 20:54:16 Epoch 5 train_f_r2scan_d4: 0.12278804
17/03/2025 20:54:16 Epoch 5 train_e_r2scan_d4_rmse: 0.00523080
17/03/2025 20:54:16 Epoch 5 train_f_r2scan_d4_rmse: 0.12278804
17/03/2025 20:54:16 Epoch 5 lr-Adam: 0.01000000
17/03/2025 20:54:16 Epoch 5 val_e_r2scan_d4_rmse: 0.01564882
17/03/2025 20:54:16 Epoch 5 val_f_r2scan_d4_rmse: 0.11070475
17/03/2025 20:55:52 Epoch 6 val_loss: 19.75434113
17/03/2025 20:55:52 Epoch 6 train_e_r2scan_d4: 0.00727360
17/03/2025 20:55:52 Epoch 6 train_f_r2scan_d4: 0.10534947
17/03/2025 20:55:52 Epoch 6 train_e_r2scan_d4_rmse: 0.00727360
17/03/2025 20:55:52 Epoch 6 train_f_r2scan_d4_rmse: 0.10534947
17/03/2025 20:55:52 Epoch 6 lr-Adam: 0.01000000
17/03/2025 20:55:52 Epoch 6 val_e_r2scan_d4_rmse: 0.00677433
17/03/2025 20:55:52 Epoch 6 val_f_r2scan_d4_rmse: 0.13849655
17/03/2025 20:57:28 Epoch 7 val_loss: 8.81907463
17/03/2025 20:57:28 Epoch 7 train_e_r2scan_d4: 0.00884895
17/03/2025 20:57:28 Epoch 7 train_f_r2scan_d4: 0.11084557
17/03/2025 20:57:28 Epoch 7 train_e_r2scan_d4_rmse: 0.00884895
17/03/2025 20:57:28 Epoch 7 train_f_r2scan_d4_rmse: 0.11084557
17/03/2025 20:57:28 Epoch 7 lr-Adam: 0.01000000
17/03/2025 20:57:28 Epoch 7 val_e_r2scan_d4_rmse: 0.00453240
17/03/2025 20:57:28 Epoch 7 val_f_r2scan_d4_rmse: 0.09045509
17/03/2025 20:59:04 Epoch 8 val_loss: 12.61264038
17/03/2025 20:59:04 Epoch 8 train_e_r2scan_d4: 0.05509768
17/03/2025 20:59:04 Epoch 8 train_f_r2scan_d4: 0.10953398
17/03/2025 20:59:04 Epoch 8 train_e_r2scan_d4_rmse: 0.05509768
17/03/2025 20:59:04 Epoch 8 train_f_r2scan_d4_rmse: 0.10953398
17/03/2025 20:59:04 Epoch 8 lr-Adam: 0.01000000
17/03/2025 20:59:04 Epoch 8 val_e_r2scan_d4_rmse: 0.03199861
17/03/2025 20:59:04 Epoch 8 val_f_r2scan_d4_rmse: 0.09090593
17/03/2025 21:00:40 Epoch 9 val_loss: 15.93242741
17/03/2025 21:00:40 Epoch 9 train_e_r2scan_d4: 0.02434652
17/03/2025 21:00:40 Epoch 9 train_f_r2scan_d4: 0.11215056
17/03/2025 21:00:40 Epoch 9 train_e_r2scan_d4_rmse: 0.02434652
17/03/2025 21:00:40 Epoch 9 train_f_r2scan_d4_rmse: 0.11215056
17/03/2025 21:00:40 Epoch 9 lr-Adam: 0.01000000
17/03/2025 21:00:40 Epoch 9 val_e_r2scan_d4_rmse: 0.02483144
17/03/2025 21:00:40 Epoch 9 val_f_r2scan_d4_rmse: 0.11468603
17/03/2025 21:02:16 Epoch 10 val_loss: 19.23128128
17/03/2025 21:02:16 Epoch 10 train_e_r2scan_d4: 0.00451305
17/03/2025 21:02:16 Epoch 10 train_f_r2scan_d4: 0.15554610
17/03/2025 21:02:16 Epoch 10 train_e_r2scan_d4_rmse: 0.00451305
17/03/2025 21:02:16 Epoch 10 train_f_r2scan_d4_rmse: 0.15554610
17/03/2025 21:02:16 Epoch 10 lr-Adam: 0.01000000
17/03/2025 21:02:16 Epoch 10 val_e_r2scan_d4_rmse: 0.01073889
17/03/2025 21:02:16 Epoch 10 val_f_r2scan_d4_rmse: 0.13612539
17/03/2025 21:03:52 Epoch 11 val_loss: 7.39239407
17/03/2025 21:03:52 Epoch 11 train_e_r2scan_d4: 0.01468992
17/03/2025 21:03:52 Epoch 11 train_f_r2scan_d4: 0.08594853
17/03/2025 21:03:52 Epoch 11 train_e_r2scan_d4_rmse: 0.01468992
17/03/2025 21:03:52 Epoch 11 train_f_r2scan_d4_rmse: 0.08594853
17/03/2025 21:03:52 Epoch 11 lr-Adam: 0.01000000
17/03/2025 21:03:52 Epoch 11 val_e_r2scan_d4_rmse: 0.00495162
17/03/2025 21:03:52 Epoch 11 val_f_r2scan_d4_rmse: 0.08153719
17/03/2025 21:05:29 Epoch 12 val_loss: 7.70042276
17/03/2025 21:05:29 Epoch 12 train_e_r2scan_d4: 0.00312620
17/03/2025 21:05:29 Epoch 12 train_f_r2scan_d4: 0.11724263
17/03/2025 21:05:29 Epoch 12 train_e_r2scan_d4_rmse: 0.00312620
17/03/2025 21:05:29 Epoch 12 train_f_r2scan_d4_rmse: 0.11724263
17/03/2025 21:05:29 Epoch 12 lr-Adam: 0.01000000
17/03/2025 21:05:29 Epoch 12 val_e_r2scan_d4_rmse: 0.01467129
17/03/2025 21:05:29 Epoch 12 val_f_r2scan_d4_rmse: 0.08007505
17/03/2025 21:07:04 Epoch 13 val_loss: 10.84866619
17/03/2025 21:07:04 Epoch 13 train_e_r2scan_d4: 0.01413632
17/03/2025 21:07:04 Epoch 13 train_f_r2scan_d4: 0.13524139
17/03/2025 21:07:04 Epoch 13 train_e_r2scan_d4_rmse: 0.01413632
17/03/2025 21:07:04 Epoch 13 train_f_r2scan_d4_rmse: 0.13524139
17/03/2025 21:07:04 Epoch 13 lr-Adam: 0.01000000
17/03/2025 21:07:04 Epoch 13 val_e_r2scan_d4_rmse: 0.00327859
17/03/2025 21:07:04 Epoch 13 val_f_r2scan_d4_rmse: 0.10257086
17/03/2025 21:08:40 Epoch 14 val_loss: 7.68066406
17/03/2025 21:08:40 Epoch 14 train_e_r2scan_d4: 0.01114771
17/03/2025 21:08:40 Epoch 14 train_f_r2scan_d4: 0.09348923
17/03/2025 21:08:40 Epoch 14 train_e_r2scan_d4_rmse: 0.01114771
17/03/2025 21:08:40 Epoch 14 train_f_r2scan_d4_rmse: 0.09348923
17/03/2025 21:08:40 Epoch 14 lr-Adam: 0.01000000
17/03/2025 21:08:40 Epoch 14 val_e_r2scan_d4_rmse: 0.00879717
17/03/2025 21:08:40 Epoch 14 val_f_r2scan_d4_rmse: 0.08286499
17/03/2025 21:10:16 Epoch 15 val_loss: 5.64906883
17/03/2025 21:10:16 Epoch 15 train_e_r2scan_d4: 0.01194703
17/03/2025 21:10:16 Epoch 15 train_f_r2scan_d4: 0.07524359
17/03/2025 21:10:16 Epoch 15 train_e_r2scan_d4_rmse: 0.01194703
17/03/2025 21:10:16 Epoch 15 train_f_r2scan_d4_rmse: 0.07524359
17/03/2025 21:10:16 Epoch 15 lr-Adam: 0.01000000
17/03/2025 21:10:16 Epoch 15 val_e_r2scan_d4_rmse: 0.00257983
17/03/2025 21:10:16 Epoch 15 val_f_r2scan_d4_rmse: 0.07082020
17/03/2025 21:11:52 Epoch 16 val_loss: 20.69934845
17/03/2025 21:11:52 Epoch 16 train_e_r2scan_d4: 0.00233595
17/03/2025 21:11:52 Epoch 16 train_f_r2scan_d4: 0.12880872
17/03/2025 21:11:52 Epoch 16 train_e_r2scan_d4_rmse: 0.00233595
17/03/2025 21:11:52 Epoch 16 train_f_r2scan_d4_rmse: 0.12880872
17/03/2025 21:11:52 Epoch 16 lr-Adam: 0.01000000
17/03/2025 21:11:52 Epoch 16 val_e_r2scan_d4_rmse: 0.00892515
17/03/2025 21:11:52 Epoch 16 val_f_r2scan_d4_rmse: 0.14131150
17/03/2025 21:13:28 Epoch 17 val_loss: 23.99364281
17/03/2025 21:13:28 Epoch 17 train_e_r2scan_d4: 0.02019497
17/03/2025 21:13:28 Epoch 17 train_f_r2scan_d4: 0.11488362
17/03/2025 21:13:28 Epoch 17 train_e_r2scan_d4_rmse: 0.02019497
17/03/2025 21:13:28 Epoch 17 train_f_r2scan_d4_rmse: 0.11488362
17/03/2025 21:13:28 Epoch 17 lr-Adam: 0.01000000
17/03/2025 21:13:28 Epoch 17 val_e_r2scan_d4_rmse: 0.04005787
17/03/2025 21:13:28 Epoch 17 val_f_r2scan_d4_rmse: 0.13353179
17/03/2025 21:15:06 Epoch 18 val_loss: 5.47383642
17/03/2025 21:15:06 Epoch 18 train_e_r2scan_d4: 0.01718048
17/03/2025 21:15:06 Epoch 18 train_f_r2scan_d4: 0.10439873
17/03/2025 21:15:06 Epoch 18 train_e_r2scan_d4_rmse: 0.01718048
17/03/2025 21:15:06 Epoch 18 train_f_r2scan_d4_rmse: 0.10439873
17/03/2025 21:15:06 Epoch 18 lr-Adam: 0.01000000
17/03/2025 21:15:06 Epoch 18 val_e_r2scan_d4_rmse: 0.01341745
17/03/2025 21:15:06 Epoch 18 val_f_r2scan_d4_rmse: 0.06591002
17/03/2025 21:16:41 Epoch 19 val_loss: 10.34842682
17/03/2025 21:16:41 Epoch 19 train_e_r2scan_d4: 0.01242720
17/03/2025 21:16:41 Epoch 19 train_f_r2scan_d4: 0.06107028
17/03/2025 21:16:41 Epoch 19 train_e_r2scan_d4_rmse: 0.01242720
17/03/2025 21:16:41 Epoch 19 train_f_r2scan_d4_rmse: 0.06107028
17/03/2025 21:16:41 Epoch 19 lr-Adam: 0.01000000
17/03/2025 21:16:41 Epoch 19 val_e_r2scan_d4_rmse: 0.03257818
17/03/2025 21:16:41 Epoch 19 val_f_r2scan_d4_rmse: 0.07769211
17/03/2025 21:18:17 Epoch 20 val_loss: 6.29131126
17/03/2025 21:18:17 Epoch 20 train_e_r2scan_d4: 0.01551343
17/03/2025 21:18:17 Epoch 20 train_f_r2scan_d4: 0.13760883
17/03/2025 21:18:17 Epoch 20 train_e_r2scan_d4_rmse: 0.01551343
17/03/2025 21:18:17 Epoch 20 train_f_r2scan_d4_rmse: 0.13760883
17/03/2025 21:18:17 Epoch 20 lr-Adam: 0.01000000
17/03/2025 21:18:17 Epoch 20 val_e_r2scan_d4_rmse: 0.00922316
17/03/2025 21:18:17 Epoch 20 val_f_r2scan_d4_rmse: 0.07378636
17/03/2025 21:19:53 Epoch 21 val_loss: 7.05036926
17/03/2025 21:19:53 Epoch 21 train_e_r2scan_d4: 0.00657724
17/03/2025 21:19:53 Epoch 21 train_f_r2scan_d4: 0.05591490
17/03/2025 21:19:53 Epoch 21 train_e_r2scan_d4_rmse: 0.00657724
17/03/2025 21:19:53 Epoch 21 train_f_r2scan_d4_rmse: 0.05591490
17/03/2025 21:19:53 Epoch 21 lr-Adam: 0.01000000
17/03/2025 21:19:53 Epoch 21 val_e_r2scan_d4_rmse: 0.00454951
17/03/2025 21:19:53 Epoch 21 val_f_r2scan_d4_rmse: 0.08060420
17/03/2025 21:21:29 Epoch 22 val_loss: 7.37782526
17/03/2025 21:21:29 Epoch 22 train_e_r2scan_d4: 0.02926921
17/03/2025 21:21:29 Epoch 22 train_f_r2scan_d4: 0.08030537
17/03/2025 21:21:29 Epoch 22 train_e_r2scan_d4_rmse: 0.02926921
17/03/2025 21:21:29 Epoch 22 train_f_r2scan_d4_rmse: 0.08030537
17/03/2025 21:21:29 Epoch 22 lr-Adam: 0.01000000
17/03/2025 21:21:29 Epoch 22 val_e_r2scan_d4_rmse: 0.01636533
17/03/2025 21:21:29 Epoch 22 val_f_r2scan_d4_rmse: 0.07427156
17/03/2025 21:23:05 Epoch 23 val_loss: 8.29144001
17/03/2025 21:23:05 Epoch 23 train_e_r2scan_d4: 0.00294300
17/03/2025 21:23:05 Epoch 23 train_f_r2scan_d4: 0.11903016
17/03/2025 21:23:05 Epoch 23 train_e_r2scan_d4_rmse: 0.00294300
17/03/2025 21:23:05 Epoch 23 train_f_r2scan_d4_rmse: 0.11903016
17/03/2025 21:23:05 Epoch 23 lr-Adam: 0.01000000
17/03/2025 21:23:05 Epoch 23 val_e_r2scan_d4_rmse: 0.00521637
17/03/2025 21:23:05 Epoch 23 val_f_r2scan_d4_rmse: 0.08547138
17/03/2025 21:24:41 Epoch 24 val_loss: 10.59787464
17/03/2025 21:24:41 Epoch 24 train_e_r2scan_d4: 0.00416406
17/03/2025 21:24:41 Epoch 24 train_f_r2scan_d4: 0.06160498
17/03/2025 21:24:41 Epoch 24 train_e_r2scan_d4_rmse: 0.00416406
17/03/2025 21:24:41 Epoch 24 train_f_r2scan_d4_rmse: 0.06160498
17/03/2025 21:24:41 Epoch 24 lr-Adam: 0.01000000
17/03/2025 21:24:41 Epoch 24 val_e_r2scan_d4_rmse: 0.01307991
17/03/2025 21:24:41 Epoch 24 val_f_r2scan_d4_rmse: 0.09633272
17/03/2025 21:26:18 Epoch 25 val_loss: 8.91933060
