17/03/2025 20:44:53 Training is starting...
17/03/2025 21:44:30 Epoch 0 val_loss: 117.03646851
17/03/2025 21:44:30 Epoch 0 train_e_r2scan: 0.03219219
17/03/2025 21:44:30 Epoch 0 train_f_r2scan: 0.28023556
17/03/2025 21:44:30 Epoch 0 train_e_r2scan_rmse: 0.03219219
17/03/2025 21:44:30 Epoch 0 train_f_r2scan_rmse: 0.28023556
17/03/2025 21:44:30 Epoch 0 lr-Adam: 0.01000000
17/03/2025 21:44:30 Epoch 0 val_e_r2scan_rmse: 0.01637281
17/03/2025 21:44:30 Epoch 0 val_f_r2scan_rmse: 0.33876684
17/03/2025 21:46:07 Epoch 1 val_loss: 40.77980423
17/03/2025 21:46:07 Epoch 1 train_e_r2scan: 0.01750339
17/03/2025 21:46:07 Epoch 1 train_f_r2scan: 0.31286010
17/03/2025 21:46:07 Epoch 1 train_e_r2scan_rmse: 0.01750339
17/03/2025 21:46:07 Epoch 1 train_f_r2scan_rmse: 0.31286010
17/03/2025 21:46:07 Epoch 1 lr-Adam: 0.01000000
17/03/2025 21:46:07 Epoch 1 val_e_r2scan_rmse: 0.01822098
17/03/2025 21:46:07 Epoch 1 val_f_r2scan_rmse: 0.19730285
17/03/2025 21:47:43 Epoch 2 val_loss: 14.31160831
17/03/2025 21:47:43 Epoch 2 train_e_r2scan: 0.00786756
17/03/2025 21:47:43 Epoch 2 train_f_r2scan: 0.12648198
17/03/2025 21:47:43 Epoch 2 train_e_r2scan_rmse: 0.00786756
17/03/2025 21:47:43 Epoch 2 train_f_r2scan_rmse: 0.12648198
17/03/2025 21:47:43 Epoch 2 lr-Adam: 0.01000000
17/03/2025 21:47:43 Epoch 2 val_e_r2scan_rmse: 0.01328945
17/03/2025 21:47:43 Epoch 2 val_f_r2scan_rmse: 0.11254726
17/03/2025 22:56:22 Epoch 3 val_loss: 17.89159775
17/03/2025 22:56:22 Epoch 3 train_e_r2scan: 0.02623292
17/03/2025 22:56:22 Epoch 3 train_f_r2scan: 0.11868583
17/03/2025 22:56:22 Epoch 3 train_e_r2scan_rmse: 0.02623292
17/03/2025 22:56:22 Epoch 3 train_f_r2scan_rmse: 0.11868583
17/03/2025 22:56:22 Epoch 3 lr-Adam: 0.01000000
17/03/2025 22:56:22 Epoch 3 val_e_r2scan_rmse: 0.02799773
17/03/2025 22:56:22 Epoch 3 val_f_r2scan_rmse: 0.12039194
18/03/2025 00:09:07 Epoch 4 val_loss: 23.38058281
18/03/2025 00:09:07 Epoch 4 train_e_r2scan: 0.04429058
18/03/2025 00:09:07 Epoch 4 train_f_r2scan: 0.08502018
18/03/2025 00:09:07 Epoch 4 train_e_r2scan_rmse: 0.04429058
18/03/2025 00:09:07 Epoch 4 train_f_r2scan_rmse: 0.08502018
18/03/2025 00:09:07 Epoch 4 lr-Adam: 0.01000000
18/03/2025 00:09:07 Epoch 4 val_e_r2scan_rmse: 0.00250208
18/03/2025 00:09:07 Epoch 4 val_f_r2scan_rmse: 0.15157689
18/03/2025 01:22:01 Epoch 5 val_loss: 13.59672832
18/03/2025 01:22:01 Epoch 5 train_e_r2scan: 0.01504861
18/03/2025 01:22:01 Epoch 5 train_f_r2scan: 0.11872239
18/03/2025 01:22:01 Epoch 5 train_e_r2scan_rmse: 0.01504861
18/03/2025 01:22:01 Epoch 5 train_f_r2scan_rmse: 0.11872239
18/03/2025 01:22:01 Epoch 5 lr-Adam: 0.01000000
