18/03/2025 08:45:55 Training is starting...
18/03/2025 09:34:35 Epoch 0 val_loss: 121.62390900
18/03/2025 09:34:35 Epoch 0 train_e_revdsdblyp_d4: 0.06790308
18/03/2025 09:34:35 Epoch 0 train_f_revdsdblyp_d4: 0.25719893
18/03/2025 09:34:35 Epoch 0 train_e_revdsdblyp_d4_rmse: 0.06790308
18/03/2025 09:34:35 Epoch 0 train_f_revdsdblyp_d4_rmse: 0.25719893
18/03/2025 09:34:35 Epoch 0 lr-Adam: 0.01000000
18/03/2025 09:34:35 Epoch 0 val_e_revdsdblyp_d4_rmse: 0.04340835
18/03/2025 09:34:35 Epoch 0 val_f_revdsdblyp_d4_rmse: 0.33623496
18/03/2025 09:36:11 Epoch 1 val_loss: 37.63143921
18/03/2025 09:36:11 Epoch 1 train_e_revdsdblyp_d4: 0.02437247
18/03/2025 09:36:11 Epoch 1 train_f_revdsdblyp_d4: 0.21284346
18/03/2025 09:36:11 Epoch 1 train_e_revdsdblyp_d4_rmse: 0.02437247
18/03/2025 09:36:11 Epoch 1 train_f_revdsdblyp_d4_rmse: 0.21284346
18/03/2025 09:36:11 Epoch 1 lr-Adam: 0.01000000
18/03/2025 09:36:11 Epoch 1 val_e_revdsdblyp_d4_rmse: 0.01962653
18/03/2025 09:36:11 Epoch 1 val_f_revdsdblyp_d4_rmse: 0.18615922
18/03/2025 09:37:49 Epoch 2 val_loss: 40.33472443
18/03/2025 09:37:49 Epoch 2 train_e_revdsdblyp_d4: 0.01912407
18/03/2025 09:37:49 Epoch 2 train_f_revdsdblyp_d4: 0.27161616
18/03/2025 09:37:49 Epoch 2 train_e_revdsdblyp_d4_rmse: 0.01912407
18/03/2025 09:37:49 Epoch 2 train_f_revdsdblyp_d4_rmse: 0.27161616
18/03/2025 09:37:49 Epoch 2 lr-Adam: 0.01000000
18/03/2025 09:37:49 Epoch 2 val_e_revdsdblyp_d4_rmse: 0.02591074
18/03/2025 09:37:49 Epoch 2 val_f_revdsdblyp_d4_rmse: 0.19110565
