17/03/2025 20:45:19 Training is starting...
17/03/2025 20:46:48 Epoch 0 val_loss: 64.09910583
17/03/2025 20:46:48 Epoch 0 train_e_revdsdblyp: 0.03349643
17/03/2025 20:46:48 Epoch 0 train_f_revdsdblyp: 0.27847549
17/03/2025 20:46:48 Epoch 0 train_e_revdsdblyp_rmse: 0.03349643
17/03/2025 20:46:48 Epoch 0 train_f_revdsdblyp_rmse: 0.27847549
17/03/2025 20:46:48 Epoch 0 lr-Adam: 0.01000000
17/03/2025 20:46:48 Epoch 0 val_e_revdsdblyp_rmse: 0.01612965
17/03/2025 20:46:48 Epoch 0 val_f_revdsdblyp_rmse: 0.24631914
17/03/2025 20:48:24 Epoch 1 val_loss: 57.90662384
17/03/2025 20:48:24 Epoch 1 train_e_revdsdblyp: 0.03792284
17/03/2025 20:48:24 Epoch 1 train_f_revdsdblyp: 0.20320511
17/03/2025 20:48:24 Epoch 1 train_e_revdsdblyp_rmse: 0.03792284
17/03/2025 20:48:24 Epoch 1 train_f_revdsdblyp_rmse: 0.20320511
17/03/2025 20:48:24 Epoch 1 lr-Adam: 0.01000000
17/03/2025 20:48:24 Epoch 1 val_e_revdsdblyp_rmse: 0.04109157
17/03/2025 20:48:24 Epoch 1 val_f_revdsdblyp_rmse: 0.22418098
17/03/2025 20:50:00 Epoch 2 val_loss: 35.63440704
17/03/2025 20:50:00 Epoch 2 train_e_revdsdblyp: 0.02618186
17/03/2025 20:50:00 Epoch 2 train_f_revdsdblyp: 0.26015699
17/03/2025 20:50:00 Epoch 2 train_e_revdsdblyp_rmse: 0.02618186
17/03/2025 20:50:00 Epoch 2 train_f_revdsdblyp_rmse: 0.26015699
17/03/2025 20:50:00 Epoch 2 lr-Adam: 0.01000000
17/03/2025 20:50:00 Epoch 2 val_e_revdsdblyp_rmse: 0.02929804
17/03/2025 20:50:00 Epoch 2 val_f_revdsdblyp_rmse: 0.17544812
17/03/2025 20:51:36 Epoch 3 val_loss: 27.42238617
17/03/2025 20:51:36 Epoch 3 train_e_revdsdblyp: 0.01421300
17/03/2025 20:51:36 Epoch 3 train_f_revdsdblyp: 0.14714348
17/03/2025 20:51:36 Epoch 3 train_e_revdsdblyp_rmse: 0.01421300
17/03/2025 20:51:36 Epoch 3 train_f_revdsdblyp_rmse: 0.14714348
17/03/2025 20:51:36 Epoch 3 lr-Adam: 0.01000000
17/03/2025 20:51:36 Epoch 3 val_e_revdsdblyp_rmse: 0.03500019
17/03/2025 20:51:36 Epoch 3 val_f_revdsdblyp_rmse: 0.14492241
17/03/2025 20:53:12 Epoch 4 val_loss: 30.41618347
17/03/2025 20:53:12 Epoch 4 train_e_revdsdblyp: 0.01174843
17/03/2025 20:53:12 Epoch 4 train_f_revdsdblyp: 0.08238158
17/03/2025 20:53:12 Epoch 4 train_e_revdsdblyp_rmse: 0.01174843
17/03/2025 20:53:12 Epoch 4 train_f_revdsdblyp_rmse: 0.08238158
17/03/2025 20:53:12 Epoch 4 lr-Adam: 0.01000000
17/03/2025 20:53:12 Epoch 4 val_e_revdsdblyp_rmse: 0.01268551
17/03/2025 20:53:12 Epoch 4 val_f_revdsdblyp_rmse: 0.16667414
17/03/2025 20:54:49 Epoch 5 val_loss: 17.19124603
17/03/2025 20:54:49 Epoch 5 train_e_revdsdblyp: 0.01407399
17/03/2025 20:54:49 Epoch 5 train_f_revdsdblyp: 0.13394704
17/03/2025 20:54:49 Epoch 5 train_e_revdsdblyp_rmse: 0.01407399
17/03/2025 20:54:49 Epoch 5 train_f_revdsdblyp_rmse: 0.13394704
17/03/2025 20:54:49 Epoch 5 lr-Adam: 0.01000000
17/03/2025 20:54:49 Epoch 5 val_e_revdsdblyp_rmse: 0.01853668
17/03/2025 20:54:49 Epoch 5 val_f_revdsdblyp_rmse: 0.11768705
17/03/2025 20:56:24 Epoch 6 val_loss: 19.87495804
