18/03/2025 08:46:10 Training is starting...
18/03/2025 09:34:36 Epoch 0 val_loss: 73.64807129
18/03/2025 09:34:36 Epoch 0 train_e_revdsdpbep86_d4: 0.02996767
18/03/2025 09:34:36 Epoch 0 train_f_revdsdpbep86_d4: 0.26555693
18/03/2025 09:34:36 Epoch 0 train_e_revdsdpbep86_d4_rmse: 0.02996767
18/03/2025 09:34:36 Epoch 0 train_f_revdsdpbep86_d4_rmse: 0.26555693
18/03/2025 09:34:36 Epoch 0 lr-Adam: 0.01000000
18/03/2025 09:34:36 Epoch 0 val_e_revdsdpbep86_d4_rmse: 0.02071652
18/03/2025 09:34:36 Epoch 0 val_f_revdsdpbep86_d4_rmse: 0.26419574
18/03/2025 09:36:14 Epoch 1 val_loss: 33.55142212
18/03/2025 09:36:14 Epoch 1 train_e_revdsdpbep86_d4: 0.01895240
18/03/2025 09:36:14 Epoch 1 train_f_revdsdpbep86_d4: 0.18620279
18/03/2025 09:36:14 Epoch 1 train_e_revdsdpbep86_d4_rmse: 0.01895240
18/03/2025 09:36:14 Epoch 1 train_f_revdsdpbep86_d4_rmse: 0.18620279
18/03/2025 09:36:14 Epoch 1 lr-Adam: 0.01000000
18/03/2025 09:36:14 Epoch 1 val_e_revdsdpbep86_d4_rmse: 0.00919066
18/03/2025 09:36:14 Epoch 1 val_f_revdsdpbep86_d4_rmse: 0.17564847
18/03/2025 09:37:51 Epoch 2 val_loss: 28.30979538
18/03/2025 09:37:51 Epoch 2 train_e_revdsdpbep86_d4: 0.01116944
18/03/2025 09:37:51 Epoch 2 train_f_revdsdpbep86_d4: 0.17762037
18/03/2025 09:37:51 Epoch 2 train_e_revdsdpbep86_d4_rmse: 0.01116944
18/03/2025 09:37:51 Epoch 2 train_f_revdsdpbep86_d4_rmse: 0.17762037
18/03/2025 09:37:51 Epoch 2 lr-Adam: 0.01000000
18/03/2025 09:37:51 Epoch 2 val_e_revdsdpbep86_d4_rmse: 0.01260053
18/03/2025 09:37:51 Epoch 2 val_f_revdsdpbep86_d4_rmse: 0.15970276
18/03/2025 09:39:29 Epoch 3 val_loss: 31.85776520
18/03/2025 09:39:29 Epoch 3 train_e_revdsdpbep86_d4: 0.02216894
18/03/2025 09:39:29 Epoch 3 train_f_revdsdpbep86_d4: 0.16852543
