18/03/2025 08:46:09 Training is starting...
18/03/2025 09:34:35 Epoch 0 val_loss: 184.42288208
18/03/2025 09:34:35 Epoch 0 train_e_revdsdpbep86: 0.05741361
18/03/2025 09:34:35 Epoch 0 train_f_revdsdpbep86: 0.46670219
18/03/2025 09:34:35 Epoch 0 train_e_revdsdpbep86_rmse: 0.05741361
18/03/2025 09:34:35 Epoch 0 train_f_revdsdpbep86_rmse: 0.46670219
18/03/2025 09:34:35 Epoch 0 lr-Adam: 0.01000000
18/03/2025 09:34:35 Epoch 0 val_e_revdsdpbep86_rmse: 0.07288245
18/03/2025 09:34:35 Epoch 0 val_f_revdsdpbep86_rmse: 0.40442711
18/03/2025 09:36:12 Epoch 1 val_loss: 34.13755035
18/03/2025 09:36:12 Epoch 1 train_e_revdsdpbep86: 0.00930702
18/03/2025 09:36:12 Epoch 1 train_f_revdsdpbep86: 0.43499660
18/03/2025 09:36:12 Epoch 1 train_e_revdsdpbep86_rmse: 0.00930702
18/03/2025 09:36:12 Epoch 1 train_f_revdsdpbep86_rmse: 0.43499660
18/03/2025 09:36:12 Epoch 1 lr-Adam: 0.01000000
18/03/2025 09:36:12 Epoch 1 val_e_revdsdpbep86_rmse: 0.00995912
18/03/2025 09:36:12 Epoch 1 val_f_revdsdpbep86_rmse: 0.17741463
18/03/2025 09:37:49 Epoch 2 val_loss: 43.11211014
18/03/2025 09:37:49 Epoch 2 train_e_revdsdpbep86: 0.04693143
18/03/2025 09:37:49 Epoch 2 train_f_revdsdpbep86: 0.20580240
18/03/2025 09:37:49 Epoch 2 train_e_revdsdpbep86_rmse: 0.04693143
18/03/2025 09:37:49 Epoch 2 train_f_revdsdpbep86_rmse: 0.20580240
18/03/2025 09:37:49 Epoch 2 lr-Adam: 0.01000000
18/03/2025 09:37:49 Epoch 2 val_e_revdsdpbep86_rmse: 0.04946034
18/03/2025 09:37:49 Epoch 2 val_f_revdsdpbep86_rmse: 0.17847377
18/03/2025 09:39:26 Epoch 3 val_loss: 25.94901848
18/03/2025 09:39:26 Epoch 3 train_e_revdsdpbep86: 0.00613003
18/03/2025 09:39:26 Epoch 3 train_f_revdsdpbep86: 0.14033131
18/03/2025 09:39:26 Epoch 3 train_e_revdsdpbep86_rmse: 0.00613003
18/03/2025 09:39:26 Epoch 3 train_f_revdsdpbep86_rmse: 0.14033131
18/03/2025 09:39:26 Epoch 3 lr-Adam: 0.01000000
18/03/2025 09:39:26 Epoch 3 val_e_revdsdpbep86_rmse: 0.02021608
18/03/2025 09:39:26 Epoch 3 val_f_revdsdpbep86_rmse: 0.14794648
18/03/2025 09:41:03 Epoch 4 val_loss: 19.51537704
18/03/2025 09:41:03 Epoch 4 train_e_revdsdpbep86: 0.02080576
18/03/2025 09:41:03 Epoch 4 train_f_revdsdpbep86: 0.07433078
18/03/2025 09:41:03 Epoch 4 train_e_revdsdpbep86_rmse: 0.02080576
18/03/2025 09:41:03 Epoch 4 train_f_revdsdpbep86_rmse: 0.07433078
18/03/2025 09:41:03 Epoch 4 lr-Adam: 0.01000000
18/03/2025 09:41:03 Epoch 4 val_e_revdsdpbep86_rmse: 0.01983840
18/03/2025 09:41:03 Epoch 4 val_f_revdsdpbep86_rmse: 0.12308816
18/03/2025 09:42:40 Epoch 5 val_loss: 21.89460373
18/03/2025 09:42:40 Epoch 5 train_e_revdsdpbep86: 0.01366866
18/03/2025 09:42:40 Epoch 5 train_f_revdsdpbep86: 0.14178872
18/03/2025 09:42:40 Epoch 5 train_e_revdsdpbep86_rmse: 0.01366866
18/03/2025 09:42:40 Epoch 5 train_f_revdsdpbep86_rmse: 0.14178872
18/03/2025 09:42:40 Epoch 5 lr-Adam: 0.01000000
18/03/2025 09:42:40 Epoch 5 val_e_revdsdpbep86_rmse: 0.00553470
18/03/2025 09:42:40 Epoch 5 val_f_revdsdpbep86_rmse: 0.14040977
18/03/2025 09:44:17 Epoch 6 val_loss: 33.38175964
18/03/2025 09:44:17 Epoch 6 train_e_revdsdpbep86: 0.04240499
18/03/2025 09:44:17 Epoch 6 train_f_revdsdpbep86: 0.11977024
18/03/2025 09:44:17 Epoch 6 train_e_revdsdpbep86_rmse: 0.04240499
18/03/2025 09:44:17 Epoch 6 train_f_revdsdpbep86_rmse: 0.11977024
18/03/2025 09:44:17 Epoch 6 lr-Adam: 0.01000000
18/03/2025 09:44:17 Epoch 6 val_e_revdsdpbep86_rmse: 0.02670379
18/03/2025 09:44:17 Epoch 6 val_f_revdsdpbep86_rmse: 0.16932158
18/03/2025 09:45:54 Epoch 7 val_loss: 21.25449944
18/03/2025 09:45:54 Epoch 7 train_e_revdsdpbep86: 0.01854646
18/03/2025 09:45:54 Epoch 7 train_f_revdsdpbep86: 0.20343336
18/03/2025 09:45:54 Epoch 7 train_e_revdsdpbep86_rmse: 0.01854646
18/03/2025 09:45:54 Epoch 7 train_f_revdsdpbep86_rmse: 0.20343336
18/03/2025 09:45:54 Epoch 7 lr-Adam: 0.01000000
18/03/2025 09:45:54 Epoch 7 val_e_revdsdpbep86_rmse: 0.02642242
18/03/2025 09:45:54 Epoch 7 val_f_revdsdpbep86_rmse: 0.12877268
18/03/2025 09:47:31 Epoch 8 val_loss: 25.14654350
18/03/2025 09:47:31 Epoch 8 train_e_revdsdpbep86: 0.00623946
18/03/2025 09:47:31 Epoch 8 train_f_revdsdpbep86: 0.18191375
18/03/2025 09:47:31 Epoch 8 train_e_revdsdpbep86_rmse: 0.00623946
18/03/2025 09:47:31 Epoch 8 train_f_revdsdpbep86_rmse: 0.18191375
18/03/2025 09:47:31 Epoch 8 lr-Adam: 0.01000000
18/03/2025 09:47:31 Epoch 8 val_e_revdsdpbep86_rmse: 0.00852576
18/03/2025 09:47:31 Epoch 8 val_f_revdsdpbep86_rmse: 0.15236157
18/03/2025 09:49:08 Epoch 9 val_loss: 21.41247940
18/03/2025 09:49:08 Epoch 9 train_e_revdsdpbep86: 0.04124328
18/03/2025 09:49:08 Epoch 9 train_f_revdsdpbep86: 0.09020469
18/03/2025 09:49:08 Epoch 9 train_e_revdsdpbep86_rmse: 0.04124328
18/03/2025 09:49:08 Epoch 9 train_f_revdsdpbep86_rmse: 0.09020469
18/03/2025 09:49:08 Epoch 9 lr-Adam: 0.01000000
18/03/2025 09:49:08 Epoch 9 val_e_revdsdpbep86_rmse: 0.01867829
18/03/2025 09:49:08 Epoch 9 val_f_revdsdpbep86_rmse: 0.13448636
18/03/2025 09:50:44 Epoch 10 val_loss: 14.02360916
18/03/2025 09:50:44 Epoch 10 train_e_revdsdpbep86: 0.02603968
18/03/2025 09:50:44 Epoch 10 train_f_revdsdpbep86: 0.06343569
18/03/2025 09:50:44 Epoch 10 train_e_revdsdpbep86_rmse: 0.02603968
18/03/2025 09:50:44 Epoch 10 train_f_revdsdpbep86_rmse: 0.06343569
18/03/2025 09:50:44 Epoch 10 lr-Adam: 0.01000000
18/03/2025 09:50:44 Epoch 10 val_e_revdsdpbep86_rmse: 0.01509775
18/03/2025 09:50:44 Epoch 10 val_f_revdsdpbep86_rmse: 0.10294364
18/03/2025 09:52:21 Epoch 11 val_loss: 18.18898773
18/03/2025 09:52:21 Epoch 11 train_e_revdsdpbep86: 0.02931711
18/03/2025 09:52:21 Epoch 11 train_f_revdsdpbep86: 0.13346346
18/03/2025 09:52:21 Epoch 11 train_e_revdsdpbep86_rmse: 0.02931711
18/03/2025 09:52:21 Epoch 11 train_f_revdsdpbep86_rmse: 0.13346346
18/03/2025 09:52:21 Epoch 11 lr-Adam: 0.01000000
18/03/2025 09:52:21 Epoch 11 val_e_revdsdpbep86_rmse: 0.03046044
18/03/2025 09:52:21 Epoch 11 val_f_revdsdpbep86_rmse: 0.10860773
18/03/2025 09:53:58 Epoch 12 val_loss: 18.56806183
18/03/2025 09:53:58 Epoch 12 train_e_revdsdpbep86: 0.00358718
18/03/2025 09:53:58 Epoch 12 train_f_revdsdpbep86: 0.08227235
18/03/2025 09:53:58 Epoch 12 train_e_revdsdpbep86_rmse: 0.00358718
18/03/2025 09:53:58 Epoch 12 train_f_revdsdpbep86_rmse: 0.08227235
18/03/2025 09:53:58 Epoch 12 lr-Adam: 0.01000000
18/03/2025 09:53:58 Epoch 12 val_e_revdsdpbep86_rmse: 0.00378850
18/03/2025 09:53:58 Epoch 12 val_f_revdsdpbep86_rmse: 0.12929350
18/03/2025 09:55:34 Epoch 13 val_loss: 16.44791222
18/03/2025 09:55:34 Epoch 13 train_e_revdsdpbep86: 0.00540051
18/03/2025 09:55:34 Epoch 13 train_f_revdsdpbep86: 0.18386987
18/03/2025 09:55:34 Epoch 13 train_e_revdsdpbep86_rmse: 0.00540051
18/03/2025 09:55:34 Epoch 13 train_f_revdsdpbep86_rmse: 0.18386987
18/03/2025 09:55:34 Epoch 13 lr-Adam: 0.01000000
18/03/2025 09:55:34 Epoch 13 val_e_revdsdpbep86_rmse: 0.01721363
18/03/2025 09:55:34 Epoch 13 val_f_revdsdpbep86_rmse: 0.11397499
18/03/2025 09:57:11 Epoch 14 val_loss: 23.45681953
18/03/2025 09:57:11 Epoch 14 train_e_revdsdpbep86: 0.00206342
18/03/2025 09:57:11 Epoch 14 train_f_revdsdpbep86: 0.16967978
18/03/2025 09:57:11 Epoch 14 train_e_revdsdpbep86_rmse: 0.00206342
18/03/2025 09:57:11 Epoch 14 train_f_revdsdpbep86_rmse: 0.16967978
18/03/2025 09:57:11 Epoch 14 lr-Adam: 0.01000000
18/03/2025 09:57:11 Epoch 14 val_e_revdsdpbep86_rmse: 0.00814753
18/03/2025 09:57:11 Epoch 14 val_f_revdsdpbep86_rmse: 0.14485712
18/03/2025 09:58:48 Epoch 15 val_loss: 41.60387802
18/03/2025 09:58:48 Epoch 15 train_e_revdsdpbep86: 0.00236666
18/03/2025 09:58:48 Epoch 15 train_f_revdsdpbep86: 0.18361664
18/03/2025 09:58:48 Epoch 15 train_e_revdsdpbep86_rmse: 0.00236666
18/03/2025 09:58:48 Epoch 15 train_f_revdsdpbep86_rmse: 0.18361664
18/03/2025 09:58:48 Epoch 15 lr-Adam: 0.01000000
18/03/2025 09:58:48 Epoch 15 val_e_revdsdpbep86_rmse: 0.01005101
18/03/2025 09:58:48 Epoch 15 val_f_revdsdpbep86_rmse: 0.19882445
18/03/2025 10:00:25 Epoch 16 val_loss: 19.41856194
18/03/2025 10:00:25 Epoch 16 train_e_revdsdpbep86: 0.01829582
18/03/2025 10:00:25 Epoch 16 train_f_revdsdpbep86: 0.07690723
18/03/2025 10:00:25 Epoch 16 train_e_revdsdpbep86_rmse: 0.01829582
18/03/2025 10:00:25 Epoch 16 train_f_revdsdpbep86_rmse: 0.07690723
18/03/2025 10:00:25 Epoch 16 lr-Adam: 0.01000000
18/03/2025 10:00:25 Epoch 16 val_e_revdsdpbep86_rmse: 0.02293210
18/03/2025 10:00:25 Epoch 16 val_f_revdsdpbep86_rmse: 0.12304990
18/03/2025 10:02:01 Epoch 17 val_loss: 13.52511883
18/03/2025 10:02:01 Epoch 17 train_e_revdsdpbep86: 0.01034563
18/03/2025 10:02:01 Epoch 17 train_f_revdsdpbep86: 0.07691555
18/03/2025 10:02:01 Epoch 17 train_e_revdsdpbep86_rmse: 0.01034563
18/03/2025 10:02:01 Epoch 17 train_f_revdsdpbep86_rmse: 0.07691555
18/03/2025 10:02:01 Epoch 17 lr-Adam: 0.01000000
18/03/2025 10:02:01 Epoch 17 val_e_revdsdpbep86_rmse: 0.00729757
18/03/2025 10:02:01 Epoch 17 val_f_revdsdpbep86_rmse: 0.10508349
18/03/2025 10:03:38 Epoch 18 val_loss: 14.44851017
18/03/2025 10:03:38 Epoch 18 train_e_revdsdpbep86: 0.00455528
18/03/2025 10:03:38 Epoch 18 train_f_revdsdpbep86: 0.10464486
18/03/2025 10:03:38 Epoch 18 train_e_revdsdpbep86_rmse: 0.00455528
18/03/2025 10:03:38 Epoch 18 train_f_revdsdpbep86_rmse: 0.10464486
18/03/2025 10:03:38 Epoch 18 lr-Adam: 0.01000000
18/03/2025 10:03:38 Epoch 18 val_e_revdsdpbep86_rmse: 0.00546400
18/03/2025 10:03:38 Epoch 18 val_f_revdsdpbep86_rmse: 0.11025803
18/03/2025 10:05:14 Epoch 19 val_loss: 21.11463737
18/03/2025 10:05:14 Epoch 19 train_e_revdsdpbep86: 0.00649461
18/03/2025 10:05:14 Epoch 19 train_f_revdsdpbep86: 0.07900945
18/03/2025 10:05:14 Epoch 19 train_e_revdsdpbep86_rmse: 0.00649461
18/03/2025 10:05:14 Epoch 19 train_f_revdsdpbep86_rmse: 0.07900945
18/03/2025 10:05:14 Epoch 19 lr-Adam: 0.01000000
18/03/2025 10:05:14 Epoch 19 val_e_revdsdpbep86_rmse: 0.00478631
18/03/2025 10:05:14 Epoch 19 val_f_revdsdpbep86_rmse: 0.13077995
18/03/2025 10:06:51 Epoch 20 val_loss: 13.61978149
18/03/2025 10:06:51 Epoch 20 train_e_revdsdpbep86: 0.00767108
18/03/2025 10:06:51 Epoch 20 train_f_revdsdpbep86: 0.12818463
18/03/2025 10:06:51 Epoch 20 train_e_revdsdpbep86_rmse: 0.00767108
