18/03/2025 08:46:12 Training is starting...
18/03/2025 08:47:41 Epoch 0 val_loss: 226.77944946
18/03/2025 08:47:41 Epoch 0 train_e_revpbe0_d3: 0.05752088
18/03/2025 08:47:41 Epoch 0 train_f_revpbe0_d3: 0.34766504
18/03/2025 08:47:41 Epoch 0 train_e_revpbe0_d3_rmse: 0.05752088
18/03/2025 08:47:41 Epoch 0 train_f_revpbe0_d3_rmse: 0.34766504
18/03/2025 08:47:41 Epoch 0 lr-Adam: 0.01000000
18/03/2025 08:47:41 Epoch 0 val_e_revpbe0_d3_rmse: 0.03018054
18/03/2025 08:47:41 Epoch 0 val_f_revpbe0_d3_rmse: 0.47086883
18/03/2025 08:49:20 Epoch 1 val_loss: 40.32238388
18/03/2025 08:49:20 Epoch 1 train_e_revpbe0_d3: 0.01074337
18/03/2025 08:49:20 Epoch 1 train_f_revpbe0_d3: 0.23230340
18/03/2025 08:49:20 Epoch 1 train_e_revpbe0_d3_rmse: 0.01074337
18/03/2025 08:49:20 Epoch 1 train_f_revpbe0_d3_rmse: 0.23230340
18/03/2025 08:49:20 Epoch 1 lr-Adam: 0.01000000
18/03/2025 08:49:20 Epoch 1 val_e_revpbe0_d3_rmse: 0.03510827
18/03/2025 08:49:20 Epoch 1 val_f_revpbe0_d3_rmse: 0.18668275
18/03/2025 08:50:57 Epoch 2 val_loss: 50.97760391
18/03/2025 08:50:57 Epoch 2 train_e_revpbe0_d3: 0.00688802
18/03/2025 08:50:57 Epoch 2 train_f_revpbe0_d3: 0.11453503
18/03/2025 08:50:57 Epoch 2 train_e_revpbe0_d3_rmse: 0.00688802
18/03/2025 08:50:57 Epoch 2 train_f_revpbe0_d3_rmse: 0.11453503
18/03/2025 08:50:57 Epoch 2 lr-Adam: 0.01000000
18/03/2025 08:50:57 Epoch 2 val_e_revpbe0_d3_rmse: 0.01058104
18/03/2025 08:50:57 Epoch 2 val_f_revpbe0_d3_rmse: 0.22402371
18/03/2025 08:52:34 Epoch 3 val_loss: 36.56212616
18/03/2025 08:52:34 Epoch 3 train_e_revpbe0_d3: 0.03564780
18/03/2025 08:52:34 Epoch 3 train_f_revpbe0_d3: 0.14870641
18/03/2025 08:52:34 Epoch 3 train_e_revpbe0_d3_rmse: 0.03564780
18/03/2025 08:52:34 Epoch 3 train_f_revpbe0_d3_rmse: 0.14870641
18/03/2025 08:52:34 Epoch 3 lr-Adam: 0.01000000
18/03/2025 08:52:34 Epoch 3 val_e_revpbe0_d3_rmse: 0.02787417
18/03/2025 08:52:34 Epoch 3 val_f_revpbe0_d3_rmse: 0.18176720
18/03/2025 08:54:11 Epoch 4 val_loss: 24.78073311
18/03/2025 08:54:11 Epoch 4 train_e_revpbe0_d3: 0.00647639
18/03/2025 08:54:11 Epoch 4 train_f_revpbe0_d3: 0.10013063
18/03/2025 08:54:11 Epoch 4 train_e_revpbe0_d3_rmse: 0.00647639
18/03/2025 08:54:11 Epoch 4 train_f_revpbe0_d3_rmse: 0.10013063
18/03/2025 08:54:11 Epoch 4 lr-Adam: 0.01000000
18/03/2025 08:54:11 Epoch 4 val_e_revpbe0_d3_rmse: 0.02606413
18/03/2025 08:54:11 Epoch 4 val_f_revpbe0_d3_rmse: 0.14649907
