18/03/2025 08:45:44 Training is starting...
18/03/2025 08:47:14 Epoch 0 val_loss: 103.13440704
18/03/2025 08:47:14 Epoch 0 train_e_revpbe0: 0.11237781
18/03/2025 08:47:14 Epoch 0 train_f_revpbe0: 0.34075791
18/03/2025 08:47:14 Epoch 0 train_e_revpbe0_rmse: 0.11237781
18/03/2025 08:47:14 Epoch 0 train_f_revpbe0_rmse: 0.34075791
18/03/2025 08:47:14 Epoch 0 lr-Adam: 0.01000000
18/03/2025 08:47:14 Epoch 0 val_e_revpbe0_rmse: 0.11884214
18/03/2025 08:47:14 Epoch 0 val_f_revpbe0_rmse: 0.22245562
18/03/2025 08:48:51 Epoch 1 val_loss: 30.06180000
18/03/2025 08:48:51 Epoch 1 train_e_revpbe0: 0.03968618
18/03/2025 08:48:51 Epoch 1 train_f_revpbe0: 0.17396197
18/03/2025 08:48:51 Epoch 1 train_e_revpbe0_rmse: 0.03968618
18/03/2025 08:48:51 Epoch 1 train_f_revpbe0_rmse: 0.17396197
18/03/2025 08:48:51 Epoch 1 lr-Adam: 0.01000000
18/03/2025 08:48:51 Epoch 1 val_e_revpbe0_rmse: 0.03012503
18/03/2025 08:48:51 Epoch 1 val_f_revpbe0_rmse: 0.16095798
18/03/2025 08:50:29 Epoch 2 val_loss: 24.37814903
18/03/2025 08:50:29 Epoch 2 train_e_revpbe0: 0.01640016
18/03/2025 08:50:29 Epoch 2 train_f_revpbe0: 0.14274268
18/03/2025 08:50:29 Epoch 2 train_e_revpbe0_rmse: 0.01640016
18/03/2025 08:50:29 Epoch 2 train_f_revpbe0_rmse: 0.14274268
18/03/2025 08:50:29 Epoch 2 lr-Adam: 0.01000000
18/03/2025 08:50:29 Epoch 2 val_e_revpbe0_rmse: 0.00558273
18/03/2025 08:50:29 Epoch 2 val_f_revpbe0_rmse: 0.15420428
18/03/2025 08:52:05 Epoch 3 val_loss: 13.55925083
18/03/2025 08:52:05 Epoch 3 train_e_revpbe0: 0.02780277
18/03/2025 08:52:05 Epoch 3 train_f_revpbe0: 0.13337402
18/03/2025 08:52:05 Epoch 3 train_e_revpbe0_rmse: 0.02780277
18/03/2025 08:52:05 Epoch 3 train_f_revpbe0_rmse: 0.13337402
18/03/2025 08:52:05 Epoch 3 lr-Adam: 0.01000000
18/03/2025 08:52:05 Epoch 3 val_e_revpbe0_rmse: 0.00501496
18/03/2025 08:52:05 Epoch 3 val_f_revpbe0_rmse: 0.11312851
18/03/2025 08:53:43 Epoch 4 val_loss: 12.96764851
18/03/2025 08:53:43 Epoch 4 train_e_revpbe0: 0.00217521
18/03/2025 08:53:43 Epoch 4 train_f_revpbe0: 0.07045297
18/03/2025 08:53:43 Epoch 4 train_e_revpbe0_rmse: 0.00217521
18/03/2025 08:53:43 Epoch 4 train_f_revpbe0_rmse: 0.07045297
18/03/2025 08:53:43 Epoch 4 lr-Adam: 0.01000000
18/03/2025 08:53:43 Epoch 4 val_e_revpbe0_rmse: 0.00503064
18/03/2025 08:53:43 Epoch 4 val_f_revpbe0_rmse: 0.10965496
18/03/2025 08:55:20 Epoch 5 val_loss: 35.56987381
18/03/2025 08:55:20 Epoch 5 train_e_revpbe0: 0.04575280
18/03/2025 08:55:20 Epoch 5 train_f_revpbe0: 0.16439524
18/03/2025 08:55:20 Epoch 5 train_e_revpbe0_rmse: 0.04575280
18/03/2025 08:55:20 Epoch 5 train_f_revpbe0_rmse: 0.16439524
18/03/2025 08:55:20 Epoch 5 lr-Adam: 0.01000000
18/03/2025 08:55:20 Epoch 5 val_e_revpbe0_rmse: 0.05535312
18/03/2025 08:55:20 Epoch 5 val_f_revpbe0_rmse: 0.15402304
18/03/2025 08:56:58 Epoch 6 val_loss: 8.36658382
18/03/2025 08:56:58 Epoch 6 train_e_revpbe0: 0.00291694
18/03/2025 08:56:58 Epoch 6 train_f_revpbe0: 0.07200146
18/03/2025 08:56:58 Epoch 6 train_e_revpbe0_rmse: 0.00291694
18/03/2025 08:56:58 Epoch 6 train_f_revpbe0_rmse: 0.07200146
18/03/2025 08:56:58 Epoch 6 lr-Adam: 0.01000000
18/03/2025 08:56:58 Epoch 6 val_e_revpbe0_rmse: 0.00947288
18/03/2025 08:56:58 Epoch 6 val_f_revpbe0_rmse: 0.08623912
18/03/2025 08:58:37 Epoch 7 val_loss: 10.00420475
18/03/2025 08:58:37 Epoch 7 train_e_revpbe0: 0.00655643
18/03/2025 08:58:37 Epoch 7 train_f_revpbe0: 0.14326847
18/03/2025 08:58:37 Epoch 7 train_e_revpbe0_rmse: 0.00655643
18/03/2025 08:58:37 Epoch 7 train_f_revpbe0_rmse: 0.14326847
18/03/2025 08:58:37 Epoch 7 lr-Adam: 0.01000000
18/03/2025 08:58:37 Epoch 7 val_e_revpbe0_rmse: 0.00639295
18/03/2025 08:58:37 Epoch 7 val_f_revpbe0_rmse: 0.09535287
18/03/2025 09:00:16 Epoch 8 val_loss: 13.47823620
18/03/2025 09:00:16 Epoch 8 train_e_revpbe0: 0.00497679
18/03/2025 09:00:16 Epoch 8 train_f_revpbe0: 0.12663162
18/03/2025 09:00:16 Epoch 8 train_e_revpbe0_rmse: 0.00497679
18/03/2025 09:00:16 Epoch 8 train_f_revpbe0_rmse: 0.12663162
18/03/2025 09:00:16 Epoch 8 lr-Adam: 0.01000000
18/03/2025 09:00:16 Epoch 8 val_e_revpbe0_rmse: 0.00989192
18/03/2025 09:00:16 Epoch 8 val_f_revpbe0_rmse: 0.09722462
18/03/2025 09:01:52 Epoch 9 val_loss: 10.37425613
18/03/2025 09:01:52 Epoch 9 train_e_revpbe0: 0.01817169
18/03/2025 09:01:52 Epoch 9 train_f_revpbe0: 0.07774132
18/03/2025 09:01:52 Epoch 9 train_e_revpbe0_rmse: 0.01817169
18/03/2025 09:01:52 Epoch 9 train_f_revpbe0_rmse: 0.07774132
18/03/2025 09:01:52 Epoch 9 lr-Adam: 0.01000000
18/03/2025 09:01:52 Epoch 9 val_e_revpbe0_rmse: 0.00738808
18/03/2025 09:01:52 Epoch 9 val_f_revpbe0_rmse: 0.09908447
18/03/2025 09:03:29 Epoch 10 val_loss: 7.68302679
18/03/2025 09:03:29 Epoch 10 train_e_revpbe0: 0.03326889
18/03/2025 09:03:29 Epoch 10 train_f_revpbe0: 0.07495956
18/03/2025 09:03:29 Epoch 10 train_e_revpbe0_rmse: 0.03326889
18/03/2025 09:03:29 Epoch 10 train_f_revpbe0_rmse: 0.07495956
18/03/2025 09:03:29 Epoch 10 lr-Adam: 0.01000000
18/03/2025 09:03:29 Epoch 10 val_e_revpbe0_rmse: 0.01024017
18/03/2025 09:03:29 Epoch 10 val_f_revpbe0_rmse: 0.08142707
18/03/2025 09:05:07 Epoch 11 val_loss: 10.30499363
18/03/2025 09:05:07 Epoch 11 train_e_revpbe0: 0.01207858
18/03/2025 09:05:07 Epoch 11 train_f_revpbe0: 0.09870318
18/03/2025 09:05:07 Epoch 11 train_e_revpbe0_rmse: 0.01207858
18/03/2025 09:05:07 Epoch 11 train_f_revpbe0_rmse: 0.09870318
18/03/2025 09:05:07 Epoch 11 lr-Adam: 0.01000000
18/03/2025 09:05:07 Epoch 11 val_e_revpbe0_rmse: 0.01000023
18/03/2025 09:05:07 Epoch 11 val_f_revpbe0_rmse: 0.09774285
18/03/2025 09:06:45 Epoch 12 val_loss: 20.02117920
18/03/2025 09:06:45 Epoch 12 train_e_revpbe0: 0.03291101
18/03/2025 09:06:45 Epoch 12 train_f_revpbe0: 0.18898962
