17/03/2025 20:45:18 Training is starting...
17/03/2025 20:46:47 Epoch 0 val_loss: 115.46186066
17/03/2025 20:46:47 Epoch 0 train_e_revpbe0d3_original: 0.05974310
17/03/2025 20:46:47 Epoch 0 train_f_revpbe0d3_original: 0.22936727
17/03/2025 20:46:47 Epoch 0 train_e_revpbe0d3_original_rmse: 0.05974310
17/03/2025 20:46:47 Epoch 0 train_f_revpbe0d3_original_rmse: 0.22936727
17/03/2025 20:46:47 Epoch 0 lr-Adam: 0.01000000
17/03/2025 20:46:47 Epoch 0 val_e_revpbe0d3_original_rmse: 0.03496904
17/03/2025 20:46:47 Epoch 0 val_f_revpbe0d3_original_rmse: 0.33098149
17/03/2025 20:48:23 Epoch 1 val_loss: 56.42295456
17/03/2025 20:48:23 Epoch 1 train_e_revpbe0d3_original: 0.01949204
17/03/2025 20:48:23 Epoch 1 train_f_revpbe0d3_original: 0.34419695
17/03/2025 20:48:23 Epoch 1 train_e_revpbe0d3_original_rmse: 0.01949204
17/03/2025 20:48:23 Epoch 1 train_f_revpbe0d3_original_rmse: 0.34419695
17/03/2025 20:48:23 Epoch 1 lr-Adam: 0.01000000
17/03/2025 20:48:23 Epoch 1 val_e_revpbe0d3_original_rmse: 0.06325112
17/03/2025 20:48:23 Epoch 1 val_f_revpbe0d3_original_rmse: 0.20231096
17/03/2025 20:49:59 Epoch 2 val_loss: 37.87071609
17/03/2025 20:49:59 Epoch 2 train_e_revpbe0d3_original: 0.06363995
17/03/2025 20:49:59 Epoch 2 train_f_revpbe0d3_original: 0.21456170
17/03/2025 20:49:59 Epoch 2 train_e_revpbe0d3_original_rmse: 0.06363995
17/03/2025 20:49:59 Epoch 2 train_f_revpbe0d3_original_rmse: 0.21456170
17/03/2025 20:49:59 Epoch 2 lr-Adam: 0.01000000
17/03/2025 20:49:59 Epoch 2 val_e_revpbe0d3_original_rmse: 0.04736061
17/03/2025 20:49:59 Epoch 2 val_f_revpbe0d3_original_rmse: 0.17013493
17/03/2025 20:51:34 Epoch 3 val_loss: 17.03520393
17/03/2025 20:51:34 Epoch 3 train_e_revpbe0d3_original: 0.00717130
17/03/2025 20:51:34 Epoch 3 train_f_revpbe0d3_original: 0.12967974
17/03/2025 20:51:34 Epoch 3 train_e_revpbe0d3_original_rmse: 0.00717130
17/03/2025 20:51:34 Epoch 3 train_f_revpbe0d3_original_rmse: 0.12967974
17/03/2025 20:51:34 Epoch 3 lr-Adam: 0.01000000
17/03/2025 20:51:34 Epoch 3 val_e_revpbe0d3_original_rmse: 0.01102905
17/03/2025 20:51:34 Epoch 3 val_f_revpbe0d3_original_rmse: 0.12468582
17/03/2025 20:53:10 Epoch 4 val_loss: 13.56449127
17/03/2025 20:53:10 Epoch 4 train_e_revpbe0d3_original: 0.00866787
17/03/2025 20:53:10 Epoch 4 train_f_revpbe0d3_original: 0.09520802
17/03/2025 20:53:10 Epoch 4 train_e_revpbe0d3_original_rmse: 0.00866787
17/03/2025 20:53:10 Epoch 4 train_f_revpbe0d3_original_rmse: 0.09520802
17/03/2025 20:53:10 Epoch 4 lr-Adam: 0.01000000
