17/03/2025 11:53:16 Training is starting...
17/03/2025 11:55:17 Epoch 0 val_loss: 61.16848373
17/03/2025 11:55:17 Epoch 0 train_e_scan_d4: 0.04450746
17/03/2025 11:55:17 Epoch 0 train_f_scan_d4: 0.24819982
17/03/2025 11:55:17 Epoch 0 train_e_scan_d4_rmse: 0.04450746
17/03/2025 11:55:17 Epoch 0 train_f_scan_d4_rmse: 0.24819982
17/03/2025 11:55:17 Epoch 0 lr-Adam: 0.01000000
17/03/2025 11:55:17 Epoch 0 val_e_scan_d4_rmse: 0.02619568
17/03/2025 11:55:17 Epoch 0 val_f_scan_d4_rmse: 0.23829827
17/03/2025 11:57:28 Epoch 1 val_loss: 52.67665863
17/03/2025 11:57:28 Epoch 1 train_e_scan_d4: 0.06546923
17/03/2025 11:57:28 Epoch 1 train_f_scan_d4: 0.22256278
17/03/2025 11:57:28 Epoch 1 train_e_scan_d4_rmse: 0.06546923
17/03/2025 11:57:28 Epoch 1 train_f_scan_d4_rmse: 0.22256278
17/03/2025 11:57:28 Epoch 1 lr-Adam: 0.01000000
17/03/2025 11:57:28 Epoch 1 val_e_scan_d4_rmse: 0.02593752
17/03/2025 11:57:28 Epoch 1 val_f_scan_d4_rmse: 0.22234631
17/03/2025 11:59:38 Epoch 2 val_loss: 29.69188118
17/03/2025 11:59:38 Epoch 2 train_e_scan_d4: 0.01506011
17/03/2025 11:59:38 Epoch 2 train_f_scan_d4: 0.13467771
17/03/2025 11:59:38 Epoch 2 train_e_scan_d4_rmse: 0.01506011
17/03/2025 11:59:38 Epoch 2 train_f_scan_d4_rmse: 0.13467771
17/03/2025 11:59:38 Epoch 2 lr-Adam: 0.01000000
17/03/2025 11:59:38 Epoch 2 val_e_scan_d4_rmse: 0.00607255
17/03/2025 11:59:38 Epoch 2 val_f_scan_d4_rmse: 0.17025396
17/03/2025 12:01:49 Epoch 3 val_loss: 23.93831253
17/03/2025 12:01:49 Epoch 3 train_e_scan_d4: 0.01445583
17/03/2025 12:01:49 Epoch 3 train_f_scan_d4: 0.19495136
17/03/2025 12:01:49 Epoch 3 train_e_scan_d4_rmse: 0.01445583
17/03/2025 12:01:49 Epoch 3 train_f_scan_d4_rmse: 0.19495136
17/03/2025 12:01:49 Epoch 3 lr-Adam: 0.01000000
17/03/2025 12:01:49 Epoch 3 val_e_scan_d4_rmse: 0.01901001
17/03/2025 12:01:49 Epoch 3 val_f_scan_d4_rmse: 0.14829712
17/03/2025 12:03:59 Epoch 4 val_loss: 20.53619766
