17/03/2025 11:29:56 Training is starting...
17/03/2025 11:31:49 Epoch 0 val_loss: 88.29885101
17/03/2025 11:31:49 Epoch 0 train_e_scan: 0.02695679
17/03/2025 11:31:49 Epoch 0 train_f_scan: 0.23099571
17/03/2025 11:31:49 Epoch 0 train_e_scan_rmse: 0.02695679
17/03/2025 11:31:49 Epoch 0 train_f_scan_rmse: 0.23099571
17/03/2025 11:31:49 Epoch 0 lr-Adam: 0.01000000
17/03/2025 11:31:49 Epoch 0 val_e_scan_rmse: 0.03331155
17/03/2025 11:31:49 Epoch 0 val_f_scan_rmse: 0.28813061
17/03/2025 11:33:43 Epoch 1 val_loss: 50.18470764
17/03/2025 11:33:43 Epoch 1 train_e_scan: 0.05277129
17/03/2025 11:33:43 Epoch 1 train_f_scan: 0.34465259
17/03/2025 11:33:43 Epoch 1 train_e_scan_rmse: 0.05277129
17/03/2025 11:33:43 Epoch 1 train_f_scan_rmse: 0.34465259
17/03/2025 11:33:43 Epoch 1 lr-Adam: 0.01000000
17/03/2025 11:33:43 Epoch 1 val_e_scan_rmse: 0.06637839
17/03/2025 11:33:43 Epoch 1 val_f_scan_rmse: 0.18222336
17/03/2025 11:35:37 Epoch 2 val_loss: 23.04827309
17/03/2025 11:35:37 Epoch 2 train_e_scan: 0.01673252
17/03/2025 11:35:37 Epoch 2 train_f_scan: 0.17056659
17/03/2025 11:35:37 Epoch 2 train_e_scan_rmse: 0.01673252
17/03/2025 11:35:37 Epoch 2 train_f_scan_rmse: 0.17056659
17/03/2025 11:35:37 Epoch 2 lr-Adam: 0.01000000
17/03/2025 11:35:37 Epoch 2 val_e_scan_rmse: 0.01361490
17/03/2025 11:35:37 Epoch 2 val_f_scan_rmse: 0.14611718
17/03/2025 11:37:31 Epoch 3 val_loss: 27.43980026
17/03/2025 11:37:31 Epoch 3 train_e_scan: 0.02543343
17/03/2025 11:37:31 Epoch 3 train_f_scan: 0.16184972
17/03/2025 11:37:31 Epoch 3 train_e_scan_rmse: 0.02543343
17/03/2025 11:37:31 Epoch 3 train_f_scan_rmse: 0.16184972
17/03/2025 11:37:31 Epoch 3 lr-Adam: 0.01000000
17/03/2025 11:37:31 Epoch 3 val_e_scan_rmse: 0.03053895
17/03/2025 11:37:31 Epoch 3 val_f_scan_rmse: 0.15264307
17/03/2025 11:39:25 Epoch 4 val_loss: 25.09932709
17/03/2025 11:39:25 Epoch 4 train_e_scan: 0.00550012
17/03/2025 11:39:25 Epoch 4 train_f_scan: 0.08847877
17/03/2025 11:39:25 Epoch 4 train_e_scan_rmse: 0.00550012
17/03/2025 11:39:25 Epoch 4 train_f_scan_rmse: 0.08847877
17/03/2025 11:39:25 Epoch 4 lr-Adam: 0.01000000
17/03/2025 11:39:25 Epoch 4 val_e_scan_rmse: 0.04723971
17/03/2025 11:39:25 Epoch 4 val_f_scan_rmse: 0.12455430
17/03/2025 11:41:20 Epoch 5 val_loss: 17.95328140
17/03/2025 11:41:20 Epoch 5 train_e_scan: 0.01316339
17/03/2025 11:41:20 Epoch 5 train_f_scan: 0.13065946
17/03/2025 11:41:20 Epoch 5 train_e_scan_rmse: 0.01316339
17/03/2025 11:41:20 Epoch 5 train_f_scan_rmse: 0.13065946
17/03/2025 11:41:20 Epoch 5 lr-Adam: 0.01000000
17/03/2025 11:41:20 Epoch 5 val_e_scan_rmse: 0.01996895
17/03/2025 11:41:20 Epoch 5 val_f_scan_rmse: 0.12682056
17/03/2025 11:43:14 Epoch 6 val_loss: 26.81272507
17/03/2025 11:43:14 Epoch 6 train_e_scan: 0.00198415
17/03/2025 11:43:14 Epoch 6 train_f_scan: 0.10680211
17/03/2025 11:43:14 Epoch 6 train_e_scan_rmse: 0.00198415
17/03/2025 11:43:14 Epoch 6 train_f_scan_rmse: 0.10680211
17/03/2025 11:43:14 Epoch 6 lr-Adam: 0.01000000
17/03/2025 11:43:14 Epoch 6 val_e_scan_rmse: 0.00781276
17/03/2025 11:43:14 Epoch 6 val_f_scan_rmse: 0.16082133
17/03/2025 11:45:08 Epoch 7 val_loss: 11.77048302
17/03/2025 11:45:08 Epoch 7 train_e_scan: 0.01807022
17/03/2025 11:45:08 Epoch 7 train_f_scan: 0.11468988
17/03/2025 11:45:08 Epoch 7 train_e_scan_rmse: 0.01807022
17/03/2025 11:45:08 Epoch 7 train_f_scan_rmse: 0.11468988
17/03/2025 11:45:08 Epoch 7 lr-Adam: 0.01000000
17/03/2025 11:45:08 Epoch 7 val_e_scan_rmse: 0.00636409
17/03/2025 11:45:08 Epoch 7 val_f_scan_rmse: 0.10483545
17/03/2025 11:47:02 Epoch 8 val_loss: 11.86780071
17/03/2025 11:47:02 Epoch 8 train_e_scan: 0.00613476
17/03/2025 11:47:02 Epoch 8 train_f_scan: 0.13323177
17/03/2025 11:47:02 Epoch 8 train_e_scan_rmse: 0.00613476
17/03/2025 11:47:02 Epoch 8 train_f_scan_rmse: 0.13323177
17/03/2025 11:47:02 Epoch 8 lr-Adam: 0.01000000
17/03/2025 11:47:02 Epoch 8 val_e_scan_rmse: 0.01137328
17/03/2025 11:47:02 Epoch 8 val_f_scan_rmse: 0.10347082
17/03/2025 11:48:57 Epoch 9 val_loss: 13.48700905
17/03/2025 11:48:57 Epoch 9 train_e_scan: 0.00497925
17/03/2025 11:48:57 Epoch 9 train_f_scan: 0.08908560
17/03/2025 11:48:57 Epoch 9 train_e_scan_rmse: 0.00497925
17/03/2025 11:48:57 Epoch 9 train_f_scan_rmse: 0.08908560
17/03/2025 11:48:57 Epoch 9 lr-Adam: 0.01000000
17/03/2025 11:48:57 Epoch 9 val_e_scan_rmse: 0.01043829
17/03/2025 11:48:57 Epoch 9 val_f_scan_rmse: 0.11004061
17/03/2025 11:50:52 Epoch 10 val_loss: 32.10425949
17/03/2025 11:50:52 Epoch 10 train_e_scan: 0.04210797
17/03/2025 11:50:52 Epoch 10 train_f_scan: 0.09071382
17/03/2025 11:50:52 Epoch 10 train_e_scan_rmse: 0.04210797
17/03/2025 11:50:52 Epoch 10 train_f_scan_rmse: 0.09071382
17/03/2025 11:50:52 Epoch 10 lr-Adam: 0.01000000
17/03/2025 11:50:52 Epoch 10 val_e_scan_rmse: 0.02432142
17/03/2025 11:50:52 Epoch 10 val_f_scan_rmse: 0.17198837
17/03/2025 11:52:46 Epoch 11 val_loss: 8.28371334
17/03/2025 11:52:46 Epoch 11 train_e_scan: 0.02087356
17/03/2025 11:52:46 Epoch 11 train_f_scan: 0.09667041
17/03/2025 11:52:46 Epoch 11 train_e_scan_rmse: 0.02087356
17/03/2025 11:52:46 Epoch 11 train_f_scan_rmse: 0.09667041
17/03/2025 11:52:46 Epoch 11 lr-Adam: 0.01000000
17/03/2025 11:52:46 Epoch 11 val_e_scan_rmse: 0.01516349
17/03/2025 11:52:46 Epoch 11 val_f_scan_rmse: 0.08362165
17/03/2025 11:54:40 Epoch 12 val_loss: 7.70279074
17/03/2025 11:54:40 Epoch 12 train_e_scan: 0.03913931
17/03/2025 11:54:40 Epoch 12 train_f_scan: 0.07650985
17/03/2025 11:54:40 Epoch 12 train_e_scan_rmse: 0.03913931
17/03/2025 11:54:40 Epoch 12 train_f_scan_rmse: 0.07650985
17/03/2025 11:54:40 Epoch 12 lr-Adam: 0.01000000
17/03/2025 11:54:40 Epoch 12 val_e_scan_rmse: 0.00789535
17/03/2025 11:54:40 Epoch 12 val_f_scan_rmse: 0.08223458
17/03/2025 11:56:33 Epoch 13 val_loss: 10.04922771
17/03/2025 11:56:33 Epoch 13 train_e_scan: 0.01421090
17/03/2025 11:56:33 Epoch 13 train_f_scan: 0.08912673
17/03/2025 11:56:33 Epoch 13 train_e_scan_rmse: 0.01421090
17/03/2025 11:56:33 Epoch 13 train_f_scan_rmse: 0.08912673
17/03/2025 11:56:33 Epoch 13 lr-Adam: 0.01000000
17/03/2025 11:56:33 Epoch 13 val_e_scan_rmse: 0.02827371
17/03/2025 11:56:33 Epoch 13 val_f_scan_rmse: 0.08204502
17/03/2025 11:58:27 Epoch 14 val_loss: 11.92061806
17/03/2025 11:58:27 Epoch 14 train_e_scan: 0.01441747
17/03/2025 11:58:27 Epoch 14 train_f_scan: 0.10061985
17/03/2025 11:58:27 Epoch 14 train_e_scan_rmse: 0.01441747
17/03/2025 11:58:27 Epoch 14 train_f_scan_rmse: 0.10061985
17/03/2025 11:58:27 Epoch 14 lr-Adam: 0.01000000
17/03/2025 11:58:27 Epoch 14 val_e_scan_rmse: 0.02273568
17/03/2025 11:58:27 Epoch 14 val_f_scan_rmse: 0.09729248
17/03/2025 12:00:21 Epoch 15 val_loss: 10.25950718
17/03/2025 12:00:21 Epoch 15 train_e_scan: 0.00408153
17/03/2025 12:00:21 Epoch 15 train_f_scan: 0.09337681
17/03/2025 12:00:21 Epoch 15 train_e_scan_rmse: 0.00408153
17/03/2025 12:00:21 Epoch 15 train_f_scan_rmse: 0.09337681
17/03/2025 12:00:21 Epoch 15 lr-Adam: 0.01000000
17/03/2025 12:00:21 Epoch 15 val_e_scan_rmse: 0.00558880
17/03/2025 12:00:21 Epoch 15 val_f_scan_rmse: 0.09805308
17/03/2025 12:02:15 Epoch 16 val_loss: 12.46258736
17/03/2025 12:02:15 Epoch 16 train_e_scan: 0.00381942
17/03/2025 12:02:15 Epoch 16 train_f_scan: 0.06984328
17/03/2025 12:02:15 Epoch 16 train_e_scan_rmse: 0.00381942
17/03/2025 12:02:15 Epoch 16 train_f_scan_rmse: 0.06984328
17/03/2025 12:02:15 Epoch 16 lr-Adam: 0.01000000
17/03/2025 12:02:15 Epoch 16 val_e_scan_rmse: 0.00455328
17/03/2025 12:02:15 Epoch 16 val_f_scan_rmse: 0.10841145
17/03/2025 12:04:09 Epoch 17 val_loss: 7.42129517
17/03/2025 12:04:09 Epoch 17 train_e_scan: 0.00924638
17/03/2025 12:04:09 Epoch 17 train_f_scan: 0.10018662
17/03/2025 12:04:09 Epoch 17 train_e_scan_rmse: 0.00924638
17/03/2025 12:04:09 Epoch 17 train_f_scan_rmse: 0.10018662
17/03/2025 12:04:09 Epoch 17 lr-Adam: 0.01000000
17/03/2025 12:04:09 Epoch 17 val_e_scan_rmse: 0.00803522
17/03/2025 12:04:09 Epoch 17 val_f_scan_rmse: 0.08213482
17/03/2025 12:06:02 Epoch 18 val_loss: 10.50865555
17/03/2025 12:06:02 Epoch 18 train_e_scan: 0.01467944
17/03/2025 12:06:02 Epoch 18 train_f_scan: 0.12278249
17/03/2025 12:06:02 Epoch 18 train_e_scan_rmse: 0.01467944
17/03/2025 12:06:02 Epoch 18 train_f_scan_rmse: 0.12278249
17/03/2025 12:06:02 Epoch 18 lr-Adam: 0.01000000
17/03/2025 12:06:02 Epoch 18 val_e_scan_rmse: 0.00628910
17/03/2025 12:06:02 Epoch 18 val_f_scan_rmse: 0.09937291
17/03/2025 12:07:56 Epoch 19 val_loss: 9.20153046
17/03/2025 12:07:56 Epoch 19 train_e_scan: 0.00179192
17/03/2025 12:07:56 Epoch 19 train_f_scan: 0.06676257
17/03/2025 12:07:56 Epoch 19 train_e_scan_rmse: 0.00179192
17/03/2025 12:07:56 Epoch 19 train_f_scan_rmse: 0.06676257
17/03/2025 12:07:56 Epoch 19 lr-Adam: 0.01000000
17/03/2025 12:07:56 Epoch 19 val_e_scan_rmse: 0.01579959
17/03/2025 12:07:56 Epoch 19 val_f_scan_rmse: 0.08770423
17/03/2025 12:09:50 Epoch 20 val_loss: 13.79292393
17/03/2025 12:09:50 Epoch 20 train_e_scan: 0.03724365
17/03/2025 12:09:50 Epoch 20 train_f_scan: 0.09736103
17/03/2025 12:09:50 Epoch 20 train_e_scan_rmse: 0.03724365
17/03/2025 12:09:50 Epoch 20 train_f_scan_rmse: 0.09736103
17/03/2025 12:09:50 Epoch 20 lr-Adam: 0.01000000
