17/03/2025 12:30:00 Training is starting...
17/03/2025 12:32:19 Epoch 0 val_loss: 84.89553070
17/03/2025 12:32:19 Epoch 0 train_e_tpss_d3: 0.04631212
17/03/2025 12:32:19 Epoch 0 train_f_tpss_d3: 0.31753919
17/03/2025 12:32:19 Epoch 0 train_e_tpss_d3_rmse: 0.04631212
17/03/2025 12:32:19 Epoch 0 train_f_tpss_d3_rmse: 0.31753919
17/03/2025 12:32:19 Epoch 0 lr-Adam: 0.01000000
17/03/2025 12:32:19 Epoch 0 val_e_tpss_d3_rmse: 0.03996163
17/03/2025 12:32:19 Epoch 0 val_f_tpss_d3_rmse: 0.27799118
17/03/2025 12:34:38 Epoch 1 val_loss: 36.41612625
17/03/2025 12:34:38 Epoch 1 train_e_tpss_d3: 0.01752183
17/03/2025 12:34:38 Epoch 1 train_f_tpss_d3: 0.20384893
17/03/2025 12:34:38 Epoch 1 train_e_tpss_d3_rmse: 0.01752183
17/03/2025 12:34:38 Epoch 1 train_f_tpss_d3_rmse: 0.20384893
17/03/2025 12:34:38 Epoch 1 lr-Adam: 0.01000000
17/03/2025 12:34:38 Epoch 1 val_e_tpss_d3_rmse: 0.03300789
17/03/2025 12:34:38 Epoch 1 val_f_tpss_d3_rmse: 0.17724968
17/03/2025 12:36:58 Epoch 2 val_loss: 26.77006531
17/03/2025 12:36:58 Epoch 2 train_e_tpss_d3: 0.03616109
17/03/2025 12:36:58 Epoch 2 train_f_tpss_d3: 0.27357695
17/03/2025 12:36:58 Epoch 2 train_e_tpss_d3_rmse: 0.03616109
17/03/2025 12:36:58 Epoch 2 train_f_tpss_d3_rmse: 0.27357695
17/03/2025 12:36:58 Epoch 2 lr-Adam: 0.01000000
17/03/2025 12:36:58 Epoch 2 val_e_tpss_d3_rmse: 0.04253554
17/03/2025 12:36:58 Epoch 2 val_f_tpss_d3_rmse: 0.13810763
17/03/2025 12:39:18 Epoch 3 val_loss: 24.23156357
17/03/2025 12:39:18 Epoch 3 train_e_tpss_d3: 0.00557009
17/03/2025 12:39:18 Epoch 3 train_f_tpss_d3: 0.11169761
17/03/2025 12:39:18 Epoch 3 train_e_tpss_d3_rmse: 0.00557009
17/03/2025 12:39:18 Epoch 3 train_f_tpss_d3_rmse: 0.11169761
17/03/2025 12:39:18 Epoch 3 lr-Adam: 0.01000000
17/03/2025 12:39:18 Epoch 3 val_e_tpss_d3_rmse: 0.00644954
17/03/2025 12:39:18 Epoch 3 val_f_tpss_d3_rmse: 0.15330020
17/03/2025 12:41:37 Epoch 4 val_loss: 14.10712814
17/03/2025 12:41:37 Epoch 4 train_e_tpss_d3: 0.00481456
17/03/2025 12:41:37 Epoch 4 train_f_tpss_d3: 0.08029585
17/03/2025 12:41:37 Epoch 4 train_e_tpss_d3_rmse: 0.00481456
17/03/2025 12:41:37 Epoch 4 train_f_tpss_d3_rmse: 0.08029585
17/03/2025 12:41:37 Epoch 4 lr-Adam: 0.01000000
17/03/2025 12:41:37 Epoch 4 val_e_tpss_d3_rmse: 0.03085883
17/03/2025 12:41:37 Epoch 4 val_f_tpss_d3_rmse: 0.10033159
17/03/2025 12:43:57 Epoch 5 val_loss: 16.03198624
17/03/2025 12:43:57 Epoch 5 train_e_tpss_d3: 0.02953734
17/03/2025 12:43:57 Epoch 5 train_f_tpss_d3: 0.14601497
17/03/2025 12:43:57 Epoch 5 train_e_tpss_d3_rmse: 0.02953734
17/03/2025 12:43:57 Epoch 5 train_f_tpss_d3_rmse: 0.14601497
17/03/2025 12:43:57 Epoch 5 lr-Adam: 0.01000000
17/03/2025 12:43:57 Epoch 5 val_e_tpss_d3_rmse: 0.03173174
17/03/2025 12:43:57 Epoch 5 val_f_tpss_d3_rmse: 0.10888102
17/03/2025 12:46:18 Epoch 6 val_loss: 16.78989220
17/03/2025 12:46:18 Epoch 6 train_e_tpss_d3: 0.01969955
17/03/2025 12:46:18 Epoch 6 train_f_tpss_d3: 0.06780538
17/03/2025 12:46:18 Epoch 6 train_e_tpss_d3_rmse: 0.01969955
17/03/2025 12:46:18 Epoch 6 train_f_tpss_d3_rmse: 0.06780538
17/03/2025 12:46:18 Epoch 6 lr-Adam: 0.01000000
17/03/2025 12:46:18 Epoch 6 val_e_tpss_d3_rmse: 0.03114341
17/03/2025 12:46:18 Epoch 6 val_f_tpss_d3_rmse: 0.10770451
17/03/2025 12:48:38 Epoch 7 val_loss: 12.30524731
17/03/2025 12:48:38 Epoch 7 train_e_tpss_d3: 0.00714458
17/03/2025 12:48:38 Epoch 7 train_f_tpss_d3: 0.11068263
17/03/2025 12:48:38 Epoch 7 train_e_tpss_d3_rmse: 0.00714458
17/03/2025 12:48:38 Epoch 7 train_f_tpss_d3_rmse: 0.11068263
17/03/2025 12:48:38 Epoch 7 lr-Adam: 0.01000000
17/03/2025 12:48:38 Epoch 7 val_e_tpss_d3_rmse: 0.00257376
17/03/2025 12:48:38 Epoch 7 val_f_tpss_d3_rmse: 0.08434457
17/03/2025 12:50:57 Epoch 8 val_loss: 11.26222801
17/03/2025 12:50:57 Epoch 8 train_e_tpss_d3: 0.01688641
17/03/2025 12:50:57 Epoch 8 train_f_tpss_d3: 0.10740032
17/03/2025 12:50:57 Epoch 8 train_e_tpss_d3_rmse: 0.01688641
17/03/2025 12:50:57 Epoch 8 train_f_tpss_d3_rmse: 0.10740032
17/03/2025 12:50:57 Epoch 8 lr-Adam: 0.01000000
17/03/2025 12:50:57 Epoch 8 val_e_tpss_d3_rmse: 0.02057910
17/03/2025 12:50:57 Epoch 8 val_f_tpss_d3_rmse: 0.09664615
17/03/2025 12:53:17 Epoch 9 val_loss: 13.45701027
