17/03/2025 12:14:54 Training is starting...
17/03/2025 12:17:15 Epoch 0 val_loss: 47.78383636
17/03/2025 12:17:15 Epoch 0 train_e_tpss: 0.02714644
17/03/2025 12:17:15 Epoch 0 train_f_tpss: 0.26702598
17/03/2025 12:17:15 Epoch 0 train_e_tpss_rmse: 0.02714644
17/03/2025 12:17:15 Epoch 0 train_f_tpss_rmse: 0.26702598
17/03/2025 12:17:15 Epoch 0 lr-Adam: 0.01000000
17/03/2025 12:17:15 Epoch 0 val_e_tpss_rmse: 0.01877532
17/03/2025 12:17:15 Epoch 0 val_f_tpss_rmse: 0.21214904
17/03/2025 12:19:38 Epoch 1 val_loss: 47.40974045
17/03/2025 12:19:38 Epoch 1 train_e_tpss: 0.03606543
17/03/2025 12:19:38 Epoch 1 train_f_tpss: 0.27703285
17/03/2025 12:19:38 Epoch 1 train_e_tpss_rmse: 0.03606543
17/03/2025 12:19:38 Epoch 1 train_f_tpss_rmse: 0.27703285
17/03/2025 12:19:38 Epoch 1 lr-Adam: 0.01000000
17/03/2025 12:19:38 Epoch 1 val_e_tpss_rmse: 0.01262086
17/03/2025 12:19:38 Epoch 1 val_f_tpss_rmse: 0.21439703
17/03/2025 12:22:03 Epoch 2 val_loss: 64.04024506
17/03/2025 12:22:03 Epoch 2 train_e_tpss: 0.03497077
17/03/2025 12:22:03 Epoch 2 train_f_tpss: 0.18464892
17/03/2025 12:22:03 Epoch 2 train_e_tpss_rmse: 0.03497077
17/03/2025 12:22:03 Epoch 2 train_f_tpss_rmse: 0.18464892
17/03/2025 12:22:03 Epoch 2 lr-Adam: 0.01000000
17/03/2025 12:22:03 Epoch 2 val_e_tpss_rmse: 0.06563643
17/03/2025 12:22:03 Epoch 2 val_f_tpss_rmse: 0.21651976
17/03/2025 12:24:26 Epoch 3 val_loss: 19.27420235
17/03/2025 12:24:26 Epoch 3 train_e_tpss: 0.01050043
17/03/2025 12:24:26 Epoch 3 train_f_tpss: 0.13367905
17/03/2025 12:24:26 Epoch 3 train_e_tpss_rmse: 0.01050043
17/03/2025 12:24:26 Epoch 3 train_f_tpss_rmse: 0.13367905
17/03/2025 12:24:26 Epoch 3 lr-Adam: 0.01000000
17/03/2025 12:24:26 Epoch 3 val_e_tpss_rmse: 0.02415602
17/03/2025 12:24:26 Epoch 3 val_f_tpss_rmse: 0.12427424
17/03/2025 12:26:47 Epoch 4 val_loss: 23.46627998
17/03/2025 12:26:47 Epoch 4 train_e_tpss: 0.00435484
17/03/2025 12:26:47 Epoch 4 train_f_tpss: 0.08302425
17/03/2025 12:26:47 Epoch 4 train_e_tpss_rmse: 0.00435484
17/03/2025 12:26:47 Epoch 4 train_f_tpss_rmse: 0.08302425
17/03/2025 12:26:47 Epoch 4 lr-Adam: 0.01000000
17/03/2025 12:26:47 Epoch 4 val_e_tpss_rmse: 0.00584339
17/03/2025 12:26:47 Epoch 4 val_f_tpss_rmse: 0.15007295
17/03/2025 12:29:11 Epoch 5 val_loss: 20.35901451
17/03/2025 12:29:11 Epoch 5 train_e_tpss: 0.03242824
17/03/2025 12:29:11 Epoch 5 train_f_tpss: 0.14062119
17/03/2025 12:29:11 Epoch 5 train_e_tpss_rmse: 0.03242824
17/03/2025 12:29:11 Epoch 5 train_f_tpss_rmse: 0.14062119
17/03/2025 12:29:11 Epoch 5 lr-Adam: 0.01000000
17/03/2025 12:29:11 Epoch 5 val_e_tpss_rmse: 0.01020846
17/03/2025 12:29:11 Epoch 5 val_f_tpss_rmse: 0.13325925
17/03/2025 12:31:35 Epoch 6 val_loss: 17.32347107
17/03/2025 12:31:35 Epoch 6 train_e_tpss: 0.00122394
17/03/2025 12:31:35 Epoch 6 train_f_tpss: 0.08083753
17/03/2025 12:31:35 Epoch 6 train_e_tpss_rmse: 0.00122394
17/03/2025 12:31:35 Epoch 6 train_f_tpss_rmse: 0.08083753
17/03/2025 12:31:35 Epoch 6 lr-Adam: 0.01000000
17/03/2025 12:31:35 Epoch 6 val_e_tpss_rmse: 0.00762169
17/03/2025 12:31:35 Epoch 6 val_f_tpss_rmse: 0.12647744
17/03/2025 12:34:00 Epoch 7 val_loss: 11.34424591
17/03/2025 12:34:00 Epoch 7 train_e_tpss: 0.00754546
17/03/2025 12:34:00 Epoch 7 train_f_tpss: 0.10844660
17/03/2025 12:34:00 Epoch 7 train_e_tpss_rmse: 0.00754546
17/03/2025 12:34:00 Epoch 7 train_f_tpss_rmse: 0.10844660
17/03/2025 12:34:00 Epoch 7 lr-Adam: 0.01000000
17/03/2025 12:34:00 Epoch 7 val_e_tpss_rmse: 0.00685968
17/03/2025 12:34:00 Epoch 7 val_f_tpss_rmse: 0.10155187
17/03/2025 12:36:23 Epoch 8 val_loss: 12.05015469
17/03/2025 12:36:23 Epoch 8 train_e_tpss: 0.01603878
17/03/2025 12:36:23 Epoch 8 train_f_tpss: 0.10573133
17/03/2025 12:36:23 Epoch 8 train_e_tpss_rmse: 0.01603878
17/03/2025 12:36:23 Epoch 8 train_f_tpss_rmse: 0.10573133
17/03/2025 12:36:23 Epoch 8 lr-Adam: 0.01000000
17/03/2025 12:36:23 Epoch 8 val_e_tpss_rmse: 0.01419443
17/03/2025 12:36:23 Epoch 8 val_f_tpss_rmse: 0.10399203
17/03/2025 12:38:44 Epoch 9 val_loss: 14.66782093
17/03/2025 12:38:44 Epoch 9 train_e_tpss: 0.01644158
17/03/2025 12:38:44 Epoch 9 train_f_tpss: 0.08488911
17/03/2025 12:38:44 Epoch 9 train_e_tpss_rmse: 0.01644158
17/03/2025 12:38:44 Epoch 9 train_f_tpss_rmse: 0.08488911
17/03/2025 12:38:44 Epoch 9 lr-Adam: 0.01000000
17/03/2025 12:38:44 Epoch 9 val_e_tpss_rmse: 0.01503188
17/03/2025 12:38:44 Epoch 9 val_f_tpss_rmse: 0.11560879
17/03/2025 12:41:06 Epoch 10 val_loss: 16.40102577
17/03/2025 12:41:06 Epoch 10 train_e_tpss: 0.03864141
17/03/2025 12:41:06 Epoch 10 train_f_tpss: 0.08659329
17/03/2025 12:41:06 Epoch 10 train_e_tpss_rmse: 0.03864141
17/03/2025 12:41:06 Epoch 10 train_f_tpss_rmse: 0.08659329
17/03/2025 12:41:06 Epoch 10 lr-Adam: 0.01000000
17/03/2025 12:41:06 Epoch 10 val_e_tpss_rmse: 0.04169416
17/03/2025 12:41:06 Epoch 10 val_f_tpss_rmse: 0.09577364
17/03/2025 12:43:29 Epoch 11 val_loss: 6.60512877
17/03/2025 12:43:29 Epoch 11 train_e_tpss: 0.01116023
17/03/2025 12:43:29 Epoch 11 train_f_tpss: 0.10571013
17/03/2025 12:43:29 Epoch 11 train_e_tpss_rmse: 0.01116023
17/03/2025 12:43:29 Epoch 11 train_f_tpss_rmse: 0.10571013
17/03/2025 12:43:29 Epoch 11 lr-Adam: 0.01000000
17/03/2025 12:43:29 Epoch 11 val_e_tpss_rmse: 0.00372956
17/03/2025 12:43:29 Epoch 11 val_f_tpss_rmse: 0.07851448
17/03/2025 12:45:54 Epoch 12 val_loss: 12.43681622
17/03/2025 12:45:54 Epoch 12 train_e_tpss: 0.01267552
17/03/2025 12:45:54 Epoch 12 train_f_tpss: 0.06455750
17/03/2025 12:45:54 Epoch 12 train_e_tpss_rmse: 0.01267552
17/03/2025 12:45:54 Epoch 12 train_f_tpss_rmse: 0.06455750
17/03/2025 12:45:54 Epoch 12 lr-Adam: 0.01000000
17/03/2025 12:45:54 Epoch 12 val_e_tpss_rmse: 0.01092271
17/03/2025 12:45:54 Epoch 12 val_f_tpss_rmse: 0.10836082
17/03/2025 12:48:17 Epoch 13 val_loss: 8.24238300
17/03/2025 12:48:17 Epoch 13 train_e_tpss: 0.00050851
17/03/2025 12:48:17 Epoch 13 train_f_tpss: 0.12096627
17/03/2025 12:48:17 Epoch 13 train_e_tpss_rmse: 0.00050851
17/03/2025 12:48:17 Epoch 13 train_f_tpss_rmse: 0.12096627
17/03/2025 12:48:17 Epoch 13 lr-Adam: 0.01000000
17/03/2025 12:48:17 Epoch 13 val_e_tpss_rmse: 0.00164459
17/03/2025 12:48:17 Epoch 13 val_f_tpss_rmse: 0.08823278
17/03/2025 12:50:40 Epoch 14 val_loss: 10.31992626
17/03/2025 12:50:40 Epoch 14 train_e_tpss: 0.00592663
17/03/2025 12:50:40 Epoch 14 train_f_tpss: 0.10458131
17/03/2025 12:50:40 Epoch 14 train_e_tpss_rmse: 0.00592663
17/03/2025 12:50:40 Epoch 14 train_f_tpss_rmse: 0.10458131
17/03/2025 12:50:40 Epoch 14 lr-Adam: 0.01000000
17/03/2025 12:50:40 Epoch 14 val_e_tpss_rmse: 0.01068206
17/03/2025 12:50:40 Epoch 14 val_f_tpss_rmse: 0.09107335
17/03/2025 12:53:04 Epoch 15 val_loss: 12.12210083
17/03/2025 12:53:04 Epoch 15 train_e_tpss: 0.01309992
17/03/2025 12:53:04 Epoch 15 train_f_tpss: 0.07953253
17/03/2025 12:53:04 Epoch 15 train_e_tpss_rmse: 0.01309992
17/03/2025 12:53:04 Epoch 15 train_f_tpss_rmse: 0.07953253
17/03/2025 12:53:04 Epoch 15 lr-Adam: 0.01000000
17/03/2025 12:53:04 Epoch 15 val_e_tpss_rmse: 0.01414207
17/03/2025 12:53:04 Epoch 15 val_f_tpss_rmse: 0.10545105
17/03/2025 12:55:27 Epoch 16 val_loss: 8.25006771
17/03/2025 12:55:27 Epoch 16 train_e_tpss: 0.00302541
17/03/2025 12:55:27 Epoch 16 train_f_tpss: 0.06175514
17/03/2025 12:55:27 Epoch 16 train_e_tpss_rmse: 0.00302541
17/03/2025 12:55:27 Epoch 16 train_f_tpss_rmse: 0.06175514
17/03/2025 12:55:27 Epoch 16 lr-Adam: 0.01000000
17/03/2025 12:55:27 Epoch 16 val_e_tpss_rmse: 0.01329033
17/03/2025 12:55:27 Epoch 16 val_f_tpss_rmse: 0.08545055
17/03/2025 12:57:50 Epoch 17 val_loss: 11.68004131
17/03/2025 12:57:50 Epoch 17 train_e_tpss: 0.00628892
17/03/2025 12:57:50 Epoch 17 train_f_tpss: 0.08705720
17/03/2025 12:57:50 Epoch 17 train_e_tpss_rmse: 0.00628892
17/03/2025 12:57:50 Epoch 17 train_f_tpss_rmse: 0.08705720
17/03/2025 12:57:50 Epoch 17 lr-Adam: 0.01000000
17/03/2025 12:57:50 Epoch 17 val_e_tpss_rmse: 0.00874075
17/03/2025 12:57:50 Epoch 17 val_f_tpss_rmse: 0.10591441
17/03/2025 13:00:14 Epoch 18 val_loss: 9.01516914
17/03/2025 13:00:14 Epoch 18 train_e_tpss: 0.00799210
17/03/2025 13:00:14 Epoch 18 train_f_tpss: 0.08900739
17/03/2025 13:00:14 Epoch 18 train_e_tpss_rmse: 0.00799210
17/03/2025 13:00:14 Epoch 18 train_f_tpss_rmse: 0.08900739
17/03/2025 13:00:14 Epoch 18 lr-Adam: 0.01000000
17/03/2025 13:00:14 Epoch 18 val_e_tpss_rmse: 0.00823589
